scene,baseline,AbsRel,RMSE,chamfer,fscore,precision,recall
scene_0,baseline_impressionism,0.032917,0.053091,0.120568,0.090205,0.08424,0.09708
scene_1,baseline_impressionism,0.061534,0.102823,0.07048,0.226918,0.19694,0.26766
scene_10,baseline_impressionism,0.120949,1.775169,1.305542,0.060045,0.04714,0.08268
scene_100,baseline_impressionism,0.083564,9.111096,5.006564,0.267466,0.28854,0.24926
scene_102,baseline_impressionism,0.158404,2.70705,1.006657,0.11717,0.10762,0.12858
scene_103,baseline_impressionism,0.110776,2.101573,4.278718,0.012737,0.01342,0.01212
scene_104,baseline_impressionism,0.084252,0.076606,0.053365,0.062084,0.04542,0.09806
scene_105,baseline_impressionism,0.132384,0.205382,0.116451,0.055516,0.0494,0.06336
scene_106,baseline_impressionism,0.098646,0.876555,1.031303,0.044702,0.04412,0.0453
scene_107,baseline_impressionism,0.081143,0.112092,0.350537,0.00042,0.00028,0.00084
scene_108,baseline_impressionism,0.11644,0.266932,0.337935,0.034936,0.0365,0.0335
scene_11,baseline_impressionism,0.07276,2.549692,1.875066,0.295306,0.2728,0.32186
scene_110,baseline_impressionism,0.543735,5.661037,5.914354,0.004467,0.00786,0.00312
scene_111,baseline_impressionism,0.179385,3.599368,2.980336,0.030653,0.02266,0.04736
scene_12,baseline_impressionism,0.101593,0.135214,0.092381,0.068355,0.05358,0.09438
scene_13,baseline_impressionism,0.170523,0.265065,0.391094,0.033693,0.02598,0.04792
scene_14,baseline_impressionism,0.084213,0.16619,0.298792,0.030991,0.02696,0.03644
scene_15,baseline_impressionism,0.087719,0.192753,0.086146,0.429358,0.35512,0.54284
scene_16,baseline_impressionism,0.273521,1.906981,1.574388,0.020282,0.0135,0.04076
scene_17,baseline_impressionism,0.119488,0.236998,0.168369,0.019944,0.049,0.01252
scene_18,baseline_impressionism,0.292998,0.216276,0.457766,0.030149,0.04094,0.02386
scene_19,baseline_impressionism,0.145754,3.27669,3.137349,0.032018,0.0246,0.04584
scene_2,baseline_impressionism,0.162999,0.300455,0.18245,0.051388,0.05248,0.05034
scene_20,baseline_impressionism,0.118166,8.800116,4.147029,0.153599,0.14976,0.15764
scene_21,baseline_impressionism,0.138215,0.209535,0.132722,0.082542,0.07,0.10056
scene_22,baseline_impressionism,0.147032,0.21032,0.2742,0.041589,0.03404,0.05344
scene_23,baseline_impressionism,0.172126,3.307647,3.610185,0.022145,0.0186,0.02736
scene_24,baseline_impressionism,0.11197,1.729407,7.518316,0.000373,0.00084,0.00024
scene_25,baseline_impressionism,0.106746,0.233177,0.168323,0.078299,0.07796,0.07864
scene_26,baseline_impressionism,0.166685,0.268894,0.19183,0.034036,0.03226,0.03602
scene_27,baseline_impressionism,0.072733,0.395675,0.31608,0.102978,0.09686,0.10992
scene_28,baseline_impressionism,0.152543,3.439107,1.630799,0.1878,0.14502,0.26638
scene_3,baseline_impressionism,0.093416,1.622188,1.511991,0.07863,0.09114,0.06914
scene_30,baseline_impressionism,0.048529,0.108363,0.205917,0.087802,0.0858,0.0899
scene_31,baseline_impressionism,0.103286,0.204213,0.245695,0.037346,0.03932,0.03556
scene_33,baseline_impressionism,0.144918,0.233076,0.105755,0.187198,0.14802,0.25458
scene_34,baseline_impressionism,0.100379,0.234329,0.27557,0.04895,0.0515,0.04664
scene_35,baseline_impressionism,0.091438,0.162322,0.197265,0.078528,0.0683,0.09236
scene_36,baseline_impressionism,0.283285,1.132802,1.714029,0.003368,0.00922,0.00206
scene_38,baseline_impressionism,0.373017,4.137673,3.467742,0.025224,0.02376,0.02688
scene_39,baseline_impressionism,0.235451,0.222305,0.135124,0.064966,0.04754,0.10256
scene_4,baseline_impressionism,0.160783,34.293753,18.839025,0.101492,0.0889,0.11824
scene_40,baseline_impressionism,0.089946,0.103449,0.087448,0.070497,0.06846,0.07266
scene_41,baseline_impressionism,0.04854,0.355045,0.319765,0.353864,0.30896,0.41404
scene_42,baseline_impressionism,0.270937,0.569976,2.394175,0.001989,0.00632,0.00118
scene_43,baseline_impressionism,0.155567,7.478906,7.070202,0.079128,0.0887,0.07142
MEAN,baseline_impressionism,0.145683,2.29016,1.85643,0.085677,0.078487,0.099415
MEDIAN,baseline_impressionism,0.118827,0.284675,0.344236,0.05778,0.0492,0.06625
