scene,style,frame,strength,scale,styl_sim,cn_sim
scene_0,watercolor,00000000,0.2,0.6,0.865234,0.828613
scene_0,watercolor,00000075,0.2,0.6,0.864258,0.742676
scene_0,watercolor,00000150,0.2,0.6,0.776855,0.524414
scene_0,watercolor,00000225,0.2,0.6,0.765137,0.742188
scene_0,watercolor,00000000,0.2,0.8,0.865234,0.837891
scene_0,watercolor,00000075,0.2,0.8,0.864258,0.747559
scene_0,watercolor,00000150,0.2,0.8,0.776855,0.533691
scene_0,watercolor,00000225,0.2,0.8,0.765137,0.749512
scene_0,watercolor,00000000,0.2,1.0,0.865234,0.843262
scene_0,watercolor,00000075,0.2,1.0,0.864258,0.73584
scene_0,watercolor,00000150,0.2,1.0,0.776855,0.540039
scene_0,watercolor,00000225,0.2,1.0,0.765137,0.744141
scene_0,watercolor,00000000,0.2,1.3,0.865234,0.849121
scene_0,watercolor,00000075,0.2,1.3,0.864258,0.735352
scene_0,watercolor,00000150,0.2,1.3,0.776855,0.555664
scene_0,watercolor,00000225,0.2,1.3,0.765137,0.753906
scene_0,watercolor,00000000,0.35,0.6,0.865234,0.29541
scene_0,watercolor,00000075,0.35,0.6,0.864258,0.532227
scene_0,watercolor,00000150,0.35,0.6,0.776855,0.161621
scene_0,watercolor,00000225,0.35,0.6,0.765137,0.348633
scene_0,watercolor,00000000,0.35,0.8,0.865234,0.330078
scene_0,watercolor,00000075,0.35,0.8,0.864258,0.538574
scene_0,watercolor,00000150,0.35,0.8,0.776855,0.165894
scene_0,watercolor,00000225,0.35,0.8,0.765137,0.396484
scene_0,watercolor,00000000,0.35,1.0,0.865234,0.373291
scene_0,watercolor,00000075,0.35,1.0,0.864258,0.568848
scene_0,watercolor,00000150,0.35,1.0,0.776855,0.202515
scene_0,watercolor,00000225,0.35,1.0,0.765137,0.422852
scene_0,watercolor,00000000,0.35,1.3,0.865234,0.398682
scene_0,watercolor,00000075,0.35,1.3,0.864258,0.529785
scene_0,watercolor,00000150,0.35,1.3,0.776855,0.275635
scene_0,watercolor,00000225,0.35,1.3,0.765137,0.557129
scene_0,watercolor,00000000,0.5,0.6,0.865234,0.019012
scene_0,watercolor,00000075,0.5,0.6,0.864258,-0.000252
scene_0,watercolor,00000150,0.5,0.6,0.776855,-0.008194
scene_0,watercolor,00000225,0.5,0.6,0.765137,0.119873
scene_0,watercolor,00000000,0.5,0.8,0.865234,0.042114
scene_0,watercolor,00000075,0.5,0.8,0.864258,0.099548
scene_0,watercolor,00000150,0.5,0.8,0.776855,0.010429
scene_0,watercolor,00000225,0.5,0.8,0.765137,0.184937
scene_0,watercolor,00000000,0.5,1.0,0.865234,0.092957
