scene,frame,style,method,cosine_sim
scene_1,00000000,watercolor,stylized,0.820801
scene_1,00000000,watercolor,destylized_controlnet,0.422607
scene_1,00000000,oil_painting,stylized,0.855469
scene_1,00000000,oil_painting,destylized_controlnet,0.517578
scene_1,00000000,impressionism,stylized,0.625977
scene_1,00000000,impressionism,destylized_controlnet,0.472168
scene_1,00000000,engraving,stylized,0.779297
scene_1,00000000,engraving,destylized_controlnet,0.472412
scene_1,00000005,watercolor,stylized,0.375488
scene_1,00000005,watercolor,destylized_controlnet,0.147461
scene_1,00000005,oil_painting,stylized,0.859375
scene_1,00000005,oil_painting,destylized_controlnet,0.460693
scene_1,00000005,impressionism,stylized,0.619141
scene_1,00000005,impressionism,destylized_controlnet,0.629395
scene_1,00000005,engraving,stylized,0.809082
scene_1,00000005,engraving,destylized_controlnet,0.449951
scene_1,00000010,watercolor,stylized,0.640625
scene_1,00000010,watercolor,destylized_controlnet,0.331055
scene_1,00000010,oil_painting,stylized,0.785645
scene_1,00000010,oil_painting,destylized_controlnet,0.448486
scene_1,00000010,impressionism,stylized,0.471191
scene_1,00000010,impressionism,destylized_controlnet,0.274902
scene_1,00000010,engraving,stylized,0.722168
scene_1,00000010,engraving,destylized_controlnet,0.662598
scene_1,00000015,watercolor,stylized,0.803223
scene_1,00000015,watercolor,destylized_controlnet,0.361572
scene_1,00000015,oil_painting,stylized,0.919434
scene_1,00000015,oil_painting,destylized_controlnet,0.214722
scene_1,00000015,impressionism,stylized,0.714355
scene_1,00000015,impressionism,destylized_controlnet,0.223877
scene_1,00000015,engraving,stylized,0.768555
scene_1,00000015,engraving,destylized_controlnet,0.427246
scene_1,00000020,watercolor,stylized,0.597656
scene_1,00000020,watercolor,destylized_controlnet,0.284668
scene_1,00000020,oil_painting,stylized,0.813965
scene_1,00000020,oil_painting,destylized_controlnet,0.57959
scene_1,00000020,impressionism,stylized,0.51709
scene_1,00000020,impressionism,destylized_controlnet,0.157837
scene_1,00000020,engraving,stylized,0.568848
scene_1,00000020,engraving,destylized_controlnet,0.499512
scene_1,00000025,watercolor,stylized,0.65625
scene_1,00000025,watercolor,destylized_controlnet,0.400879
scene_1,00000025,oil_painting,stylized,0.878418
scene_1,00000025,oil_painting,destylized_controlnet,0.468994
scene_1,00000025,impressionism,stylized,0.54541
scene_1,00000025,impressionism,destylized_controlnet,0.228638
scene_1,00000025,engraving,stylized,0.836426
scene_1,00000025,engraving,destylized_controlnet,0.70459
scene_1,00000030,watercolor,stylized,0.739746
scene_1,00000030,watercolor,destylized_controlnet,0.241821
scene_1,00000030,oil_painting,stylized,0.90918
scene_1,00000030,oil_painting,destylized_controlnet,0.394775
scene_1,00000030,impressionism,stylized,0.684082
scene_1,00000030,impressionism,destylized_controlnet,0.119019
scene_1,00000030,engraving,stylized,0.791016
scene_1,00000030,engraving,destylized_controlnet,0.336914
scene_1,00000035,watercolor,stylized,0.645508
scene_1,00000035,watercolor,destylized_controlnet,0.518066
scene_1,00000035,oil_painting,stylized,0.77002
scene_1,00000035,oil_painting,destylized_controlnet,0.618652
scene_1,00000035,impressionism,stylized,0.370361
scene_1,00000035,impressionism,destylized_controlnet,0.605469
scene_1,00000035,engraving,stylized,0.637695
scene_1,00000035,engraving,destylized_controlnet,0.484863
scene_1,00000040,watercolor,stylized,0.715332
scene_1,00000040,watercolor,destylized_controlnet,0.093201
scene_1,00000040,oil_painting,stylized,0.906738
scene_1,00000040,oil_painting,destylized_controlnet,0.483643
scene_1,00000040,impressionism,stylized,0.719727
scene_1,00000040,impressionism,destylized_controlnet,0.174805
scene_1,00000040,engraving,stylized,0.839844
scene_1,00000040,engraving,destylized_controlnet,0.291992
scene_1,00000045,watercolor,stylized,0.611816
scene_1,00000045,watercolor,destylized_controlnet,0.487061
scene_1,00000045,oil_painting,stylized,0.796387
scene_1,00000045,oil_painting,destylized_controlnet,0.504883
scene_1,00000045,impressionism,stylized,0.449463
scene_1,00000045,impressionism,destylized_controlnet,0.387695
scene_1,00000045,engraving,stylized,0.841309
scene_1,00000045,engraving,destylized_controlnet,0.385254
scene_1,00000050,watercolor,stylized,0.647949
scene_1,00000050,watercolor,destylized_controlnet,0.348389
scene_1,00000050,oil_painting,stylized,0.757812
scene_1,00000050,oil_painting,destylized_controlnet,0.590332
scene_1,00000050,impressionism,stylized,0.45874
scene_1,00000050,impressionism,destylized_controlnet,0.418701
scene_1,00000050,engraving,stylized,0.657715
scene_1,00000050,engraving,destylized_controlnet,0.523926
scene_1,00000055,watercolor,stylized,0.765137
scene_1,00000055,watercolor,destylized_controlnet,0.521973
scene_1,00000055,oil_painting,stylized,0.791992
scene_1,00000055,oil_painting,destylized_controlnet,0.563477
scene_1,00000055,impressionism,stylized,0.654297
scene_1,00000055,impressionism,destylized_controlnet,0.558105
scene_1,00000055,engraving,stylized,0.644043
scene_1,00000055,engraving,destylized_controlnet,0.760742
scene_1,00000060,watercolor,stylized,0.683105
scene_1,00000060,watercolor,destylized_controlnet,0.253418
scene_1,00000060,oil_painting,stylized,0.869629
scene_1,00000060,oil_painting,destylized_controlnet,0.510254
scene_1,00000060,impressionism,stylized,0.650391
scene_1,00000060,impressionism,destylized_controlnet,0.203613
scene_1,00000060,engraving,stylized,0.729492
scene_1,00000060,engraving,destylized_controlnet,0.219116
scene_1,00000065,watercolor,stylized,0.769043
scene_1,00000065,watercolor,destylized_controlnet,0.076233
scene_1,00000065,oil_painting,stylized,0.913574
scene_1,00000065,oil_painting,destylized_controlnet,0.383057
scene_1,00000065,impressionism,stylized,0.741211
scene_1,00000065,impressionism,destylized_controlnet,0.200806
scene_1,00000065,engraving,stylized,0.800293
scene_1,00000065,engraving,destylized_controlnet,0.236694
scene_1,00000070,watercolor,stylized,0.427979
scene_1,00000070,watercolor,destylized_controlnet,0.183228
scene_1,00000070,oil_painting,stylized,0.865234
scene_1,00000070,oil_painting,destylized_controlnet,0.414062
scene_1,00000070,impressionism,stylized,0.436768
scene_1,00000070,impressionism,destylized_controlnet,0.252686
scene_1,00000070,engraving,stylized,0.788574
scene_1,00000070,engraving,destylized_controlnet,0.346436
scene_10,00000000,watercolor,stylized,0.352051
scene_10,00000000,watercolor,destylized_controlnet,0.217407
scene_10,00000000,oil_painting,stylized,0.70459
scene_10,00000000,oil_painting,destylized_controlnet,0.59375
scene_10,00000000,impressionism,stylized,0.391846
scene_10,00000000,impressionism,destylized_controlnet,0.13208
scene_10,00000000,engraving,stylized,0.405273
scene_10,00000000,engraving,destylized_controlnet,0.162109
scene_10,00000005,watercolor,stylized,0.491455
scene_10,00000005,watercolor,destylized_controlnet,0.445801
scene_10,00000005,oil_painting,stylized,0.879395
scene_10,00000005,oil_painting,destylized_controlnet,0.816406
scene_10,00000005,impressionism,stylized,0.419189
scene_10,00000005,impressionism,destylized_controlnet,0.222168
scene_10,00000005,engraving,stylized,0.325195
scene_10,00000005,engraving,destylized_controlnet,0.364746
scene_10,00000010,watercolor,stylized,0.705566
scene_10,00000010,watercolor,destylized_controlnet,0.645508
scene_10,00000010,oil_painting,stylized,0.944824
scene_10,00000010,oil_painting,destylized_controlnet,0.70166
scene_10,00000010,impressionism,stylized,0.443848
scene_10,00000010,impressionism,destylized_controlnet,0.280762
scene_10,00000010,engraving,stylized,0.537109
scene_10,00000010,engraving,destylized_controlnet,0.521973
scene_10,00000015,watercolor,stylized,0.431885
scene_10,00000015,watercolor,destylized_controlnet,0.359619
scene_10,00000015,oil_painting,stylized,0.677734
