scene,baseline,AbsRel,RMSE,chamfer,fscore,precision,recall
scene_1,engraving_100_0blocks,0.065868,0.123637,0.204913,0.105961,0.08766,0.13392
scene_10,engraving_100_0blocks,0.110079,1.649947,1.269821,0.048603,0.04156,0.05852
scene_101,engraving_100_0blocks,0.175784,0.095391,0.168694,0.047721,0.03398,0.08012
scene_102,engraving_100_0blocks,0.160857,2.560687,1.055368,0.073976,0.06144,0.09294
scene_103,engraving_100_0blocks,0.097589,1.960472,3.994815,0.027187,0.02042,0.04066
scene_104,engraving_100_0blocks,0.100057,0.207299,0.079955,0.041863,0.09038,0.02724
scene_105,engraving_100_0blocks,0.13389,0.198082,0.110366,0.037775,0.02968,0.05194
scene_106,engraving_100_0blocks,0.088257,0.798955,1.058928,0.051741,0.04992,0.0537
scene_107,engraving_100_0blocks,0.066148,0.132898,0.532955,0.0,0.0,0.0
scene_109,engraving_100_0blocks,0.112882,0.206965,0.078063,0.121678,0.11582,0.12816
scene_11,engraving_100_0blocks,0.089151,2.855265,1.848801,0.162476,0.12184,0.24378
scene_110,engraving_100_0blocks,0.462066,6.512252,8.325039,0.003697,0.00652,0.00258
scene_111,engraving_100_0blocks,0.117717,2.731306,2.670613,0.051948,0.0406,0.0721
scene_112,engraving_100_0blocks,0.080043,0.612423,0.957537,0.093355,0.07854,0.11506
scene_12,engraving_100_0blocks,0.091088,0.193782,0.163747,0.01753,0.01744,0.01762
scene_13,engraving_100_0blocks,0.136351,0.241818,0.066167,0.284178,0.22738,0.3788
scene_14,engraving_100_0blocks,0.051779,0.110252,0.269547,0.013383,0.0125,0.0144
scene_15,engraving_100_0blocks,0.090241,0.194314,0.134873,0.178276,0.15262,0.2143
scene_16,engraving_100_0blocks,0.1814,1.572169,1.220075,0.034119,0.02314,0.06492
scene_17,engraving_100_0blocks,0.120489,0.234485,0.128708,0.04654,0.07166,0.03446
scene_2,engraving_100_0blocks,0.122486,0.271582,0.181077,0.060864,0.0501,0.07752
scene_21,engraving_100_0blocks,0.109883,0.16938,0.093008,0.167667,0.1704,0.16502
scene_22,engraving_100_0blocks,0.151918,0.210537,0.31325,0.040708,0.0386,0.04306
scene_23,engraving_100_0blocks,0.093565,2.456465,2.319635,0.079186,0.0631,0.10628
scene_24,engraving_100_0blocks,0.07957,1.472038,4.714836,0.000162,0.00042,0.0001
scene_25,engraving_100_0blocks,0.091212,0.209693,0.089209,0.153084,0.13062,0.18488
scene_26,engraving_100_0blocks,0.125097,0.242321,0.182169,0.054981,0.05714,0.05298
scene_27,engraving_100_0blocks,0.085172,0.452852,0.415645,0.114194,0.1134,0.115
scene_29,engraving_100_0blocks,0.175706,1.41358,1.349422,0.044139,0.04186,0.04668
scene_30,engraving_100_0blocks,0.045487,0.110586,0.145837,0.228479,0.19764,0.27072
scene_31,engraving_100_0blocks,0.106452,0.190838,0.208068,0.042681,0.03526,0.05406
scene_32,engraving_100_0blocks,0.175564,0.301257,0.710256,0.009426,0.0098,0.00908
scene_33,engraving_100_0blocks,0.143708,0.22715,0.150998,0.061864,0.06856,0.05636
scene_34,engraving_100_0blocks,0.090473,0.192517,0.097406,0.232446,0.2485,0.21834
scene_35,engraving_100_0blocks,0.102252,0.1602,0.148879,0.050348,0.04014,0.06752
scene_36,engraving_100_0blocks,0.129365,0.764806,1.083291,0.024252,0.02058,0.02952
scene_37,engraving_100_0blocks,0.082712,0.162754,0.043103,0.047583,0.07358,0.03516
scene_38,engraving_100_0blocks,0.382295,5.688154,3.40418,0.012395,0.01266,0.01214
scene_39,engraving_100_0blocks,0.179714,0.193628,0.197489,0.05593,0.0443,0.07584
scene_4,engraving_100_0blocks,0.151003,31.946302,21.173697,0.097274,0.08032,0.1233
scene_41,engraving_100_0blocks,0.046698,0.302507,0.229674,0.349844,0.31072,0.40024
scene_44,engraving_100_0blocks,0.097849,0.152992,0.129195,0.060283,0.0628,0.05796
scene_45,engraving_100_0blocks,0.068455,0.143885,0.040801,0.450877,0.37622,0.5625
scene_46,engraving_100_0blocks,0.047025,0.212927,0.27159,0.002546,0.00166,0.00546
scene_47,engraving_100_0blocks,0.141976,0.604814,1.012211,0.030048,0.04546,0.02244
scene_48,engraving_100_0blocks,0.059926,0.102723,0.10589,0.115639,0.1145,0.1168
scene_49,engraving_100_0blocks,0.095361,0.523506,0.834652,0.041922,0.03552,0.05114
scene_50,engraving_100_0blocks,0.115974,0.179189,0.083976,0.117662,0.09944,0.14406
scene_52,engraving_100_0blocks,0.166228,31.04005,20.253907,0.06237,0.06236,0.06238
scene_55,engraving_100_0blocks,0.114422,2.365879,4.364321,0.002364,0.00352,0.00178
scene_56,engraving_100_0blocks,0.061316,0.126098,0.026952,0.162478,0.14846,0.17942
scene_57,engraving_100_0blocks,0.188584,1.316072,1.498933,0.015438,0.0168,0.01428
scene_59,engraving_100_0blocks,0.204968,2.003535,1.599654,0.03638,0.02932,0.04792
scene_60,engraving_100_0blocks,0.0723,0.225604,0.268904,0.05466,0.0571,0.05242
scene_61,engraving_100_0blocks,0.398918,0.653553,0.509286,0.018758,0.01038,0.09726
scene_64,engraving_100_0blocks,0.065706,11.676695,18.937815,0.133261,0.1317,0.13486
scene_66,engraving_100_0blocks,0.112148,18.130742,18.380995,0.031515,0.02952,0.0338
scene_67,engraving_100_0blocks,0.08591,12.868454,13.102914,0.055312,0.0499,0.06204
scene_71,engraving_100_0blocks,0.191941,0.268448,0.186505,0.079119,0.06226,0.1085
scene_72,engraving_100_0blocks,0.080411,0.207888,0.076842,0.311603,0.27146,0.36568
scene_73,engraving_100_0blocks,0.143296,0.251816,0.275146,0.058426,0.0482,0.07416
scene_75,engraving_100_0blocks,0.08794,13.941686,7.398952,0.119398,0.0996,0.14902
scene_78,engraving_100_0blocks,0.187399,0.185185,0.37206,0.046807,0.04134,0.05394
scene_79,engraving_100_0blocks,0.166221,0.296341,0.212767,0.057007,0.03892,0.1065
scene_8,engraving_100_0blocks,0.173967,1.226142,2.105037,0.05405,0.04142,0.07776
scene_80,engraving_100_0blocks,0.079556,0.177947,0.179903,0.074977,0.06794,0.08364
scene_81,engraving_100_0blocks,0.202811,0.313005,0.144346,0.010485,0.0113,0.00978
scene_85,engraving_100_0blocks,0.328152,0.272915,0.212429,0.053781,0.03574,0.1086
scene_87,engraving_100_0blocks,0.105239,0.241934,0.133038,0.179755,0.15678,0.21062
scene_89,engraving_100_0blocks,0.177431,0.302156,0.091837,0.032645,0.03196,0.03336
scene_9,engraving_100_0blocks,0.086074,0.31189,0.125604,0.230198,0.25376,0.21064
scene_90,engraving_100_0blocks,0.360824,1.120482,1.020304,0.066815,0.0613,0.07342
scene_92,engraving_100_0blocks,0.129199,13.699141,8.586543,0.080961,0.0667,0.10298
scene_93,engraving_100_0blocks,0.323011,0.266811,0.22823,0.058468,0.03958,0.11184
scene_95,engraving_100_0blocks,0.203303,0.339386,0.304613,0.085055,0.0693,0.11008
scene_96,engraving_100_0blocks,0.078807,0.125495,0.091745,0.117945,0.09116,0.16702
scene_98,engraving_100_0blocks,0.386673,0.255715,0.161423,0.082942,0.08498,0.081
MEAN,engraving_100_0blocks,0.140148,2.421593,2.141811,0.085214,0.077132,0.102001
MEDIAN,engraving_100_0blocks,0.112882,0.271582,0.268904,0.05593,0.0571,0.07416
