scene,baseline,AbsRel,RMSE,chamfer,fscore,precision,recall
scene_0,lora_impressionism,0.049319,0.083992,0.123245,0.082446,0.06274,0.1202
scene_1,lora_impressionism,0.058368,0.100407,0.061563,0.24768,0.19492,0.3396
scene_10,lora_impressionism,0.082018,1.58314,1.472592,0.03255,0.02348,0.05304
scene_100,lora_impressionism,0.070046,7.248971,4.83344,0.267058,0.22496,0.32854
scene_102,lora_impressionism,0.140443,2.587344,0.644571,0.177805,0.14552,0.2285
scene_103,lora_impressionism,0.127105,2.12827,3.323869,0.02397,0.01776,0.03686
scene_104,lora_impressionism,0.121761,0.206658,0.039072,0.044961,0.03274,0.07174
scene_105,lora_impressionism,0.069668,0.15693,0.100169,0.068347,0.05618,0.08724
scene_106,lora_impressionism,0.094897,0.854332,0.518202,0.125039,0.09714,0.17542
scene_107,lora_impressionism,0.05333,0.115617,0.130444,0.044293,0.03726,0.0546
scene_108,lora_impressionism,0.116598,0.257996,0.209,0.033647,0.03504,0.03236
scene_11,lora_impressionism,0.086055,3.321282,1.216455,0.272649,0.215,0.37254
scene_110,lora_impressionism,0.544386,5.477842,2.882252,0.052444,0.03826,0.08334
scene_111,lora_impressionism,0.101527,2.892241,2.244821,0.051434,0.04594,0.05842
scene_12,lora_impressionism,0.084678,0.162566,0.108462,0.069757,0.06224,0.07934
scene_13,lora_impressionism,0.185468,0.300951,0.218351,0.056176,0.0456,0.07314
scene_14,lora_impressionism,0.066924,0.129586,0.349338,0.012674,0.01506,0.01094
scene_15,lora_impressionism,0.105241,0.204435,0.081035,0.382183,0.29608,0.5389
scene_16,lora_impressionism,0.182702,1.629522,1.673692,0.039041,0.02842,0.06234
scene_17,lora_impressionism,0.066945,0.160507,0.130516,0.030981,0.06688,0.02016
scene_18,lora_impressionism,0.238533,0.198393,0.698793,0.004165,0.07752,0.00214
scene_19,lora_impressionism,0.132307,3.11006,1.774688,0.086525,0.0542,0.21438
scene_2,lora_impressionism,0.116044,0.260577,0.228132,0.03427,0.02884,0.04222
scene_20,lora_impressionism,0.122656,8.749196,4.341423,0.130447,0.12672,0.1344
scene_21,lora_impressionism,0.11355,0.187453,0.103525,0.163083,0.11906,0.25876
scene_22,lora_impressionism,0.112467,0.18989,0.069067,0.242422,0.19934,0.30926
scene_23,lora_impressionism,0.091141,2.453616,2.234173,0.046237,0.04406,0.04864
scene_24,lora_impressionism,0.083698,1.497629,3.776247,0.010142,0.0092,0.0113
scene_25,lora_impressionism,0.100752,0.213203,0.111308,0.111944,0.0928,0.14104
scene_26,lora_impressionism,0.088903,0.207888,0.172176,0.049878,0.04832,0.05154
scene_27,lora_impressionism,0.06906,0.349093,0.416838,0.072125,0.09232,0.05918
scene_28,lora_impressionism,0.148668,3.64531,4.28642,0.052553,0.04434,0.0645
scene_3,lora_impressionism,0.08938,1.552361,1.368521,0.11757,0.12722,0.10928
scene_30,lora_impressionism,0.055119,0.116845,0.201565,0.087706,0.06512,0.13428
scene_31,lora_impressionism,0.075557,0.172081,0.178132,0.065617,0.05508,0.08114
scene_33,lora_impressionism,0.133128,0.225069,0.105848,0.161692,0.12876,0.21726
scene_34,lora_impressionism,0.0924,0.230666,0.114649,0.14594,0.11322,0.20526
scene_35,lora_impressionism,0.076576,0.16973,0.121938,0.086011,0.076,0.09906
scene_36,lora_impressionism,0.175521,0.863042,1.627971,0.011318,0.0094,0.01422
scene_38,lora_impressionism,0.383741,5.973078,2.407527,0.029516,0.03218,0.02726
scene_39,lora_impressionism,0.153934,0.186115,0.243494,0.020222,0.014,0.0364
scene_4,lora_impressionism,0.156314,32.39617,19.303941,0.08076,0.06978,0.09584
scene_40,lora_impressionism,0.073789,0.127932,0.053359,0.081788,0.06432,0.11228
scene_41,lora_impressionism,0.0543,0.440511,0.631266,0.07107,0.05412,0.10348
scene_42,lora_impressionism,0.221119,0.477504,2.60396,0.001729,0.00404,0.0011
scene_43,lora_impressionism,0.171333,7.637448,6.419525,0.071633,0.07236,0.07092
MEAN,lora_impressionism,0.124728,2.200727,1.60773,0.09025,0.077468,0.118964
MEDIAN,lora_impressionism,0.10114,0.280764,0.383088,0.069052,0.05921,0.08024
