style,blocks,front_value,front_sem,end_value,end_sem
photographs,0,0.077512,0.01737143994944682,0.077512,0.01737143994944682
photographs,1,0.223906,0.019458097226361222,0.118764,0.019045616583996568
photographs,2,0.217212,0.01957586633443211,0.120113,0.019182720078580042
photographs,3,0.223882,0.019571040311482785,0.125126,0.020482992067781886
photographs,4,0.223197,0.019606401840362997,0.139146,0.021172787331417833
photographs,8,0.237354,0.0195093115342797,0.192196,0.02311380698667437
photographs,12,0.263164,0.01986755742925478,0.267651,0.024170318294825115
photographs,16,0.271302,0.02248640904125259,0.359329,0.01978302594469362
photographs,20,0.293682,0.023518651381322527,0.39932,0.018382320162190168
photographs,24,0.351517,0.02211024408899937,0.404966,0.024642465979312602
watercolor,0,0.12578,0.024669521670943634,0.12578,0.024669521670943634
watercolor,1,0.192486,0.021054671631768065,0.178092,0.02315831619638988
watercolor,2,0.193891,0.020428775309339366,0.15877,0.023209201926924092
watercolor,3,0.193713,0.020314155096783727,0.165356,0.02333147765621586
watercolor,4,0.197115,0.01997049752160408,0.160648,0.023334479010037237
watercolor,8,0.212784,0.019649276061296156,0.193955,0.025459313666029236
watercolor,12,0.220484,0.021917900566311925,0.238292,0.020264090383480537
watercolor,16,0.225878,0.025744947806457807,0.336857,0.018902477021947764
watercolor,20,0.240428,0.025291171481667898,0.397322,0.016492226258273287
watercolor,24,0.288988,0.02054657677949759,0.369237,0.026039993104686205
oil_painting,0,0.105823,0.021936123988367362,0.105823,0.021936123988367362
oil_painting,1,0.195304,0.02223269632304259,0.166628,0.02229556203213581
oil_painting,2,0.20333,0.02199439825051154,0.14259,0.022255353092100763
oil_painting,3,0.204776,0.022076207497102658,0.149768,0.023294271761063693
oil_painting,4,0.207381,0.021438004988543497,0.163608,0.023517209598445915
oil_painting,8,0.220956,0.02002741942691188,0.209981,0.024914833488612023
oil_painting,12,0.240844,0.02234588254728904,0.28462,0.020909200413378844
oil_painting,16,0.259686,0.02482574592193344,0.365948,0.019570922829850762
oil_painting,20,0.270541,0.024739042787961806,0.39004,0.015879424295423272
oil_painting,24,0.321614,0.022956002290881294,0.41305,0.018683502815177264
engraving,0,0.089751,0.0262056685448919,0.089751,0.0262056685448919
engraving,1,0.264123,0.020551985013989842,0.135759,0.024775365159866704
engraving,2,0.272967,0.020595521471324523,0.13833,0.022818105972909345
engraving,3,0.277258,0.020216932174293902,0.153409,0.022622678150647044
engraving,4,0.290628,0.019246877152452005,0.169505,0.02357068318241238
engraving,8,0.333778,0.017743723528928546,0.242308,0.023914346029704034
engraving,12,0.375074,0.016510154467319096,0.298333,0.01937060024402146
engraving,16,0.394426,0.015664367115476484,0.359928,0.021909949018878806
engraving,20,0.41391,0.018082883914131993,0.432018,0.01591087265844202
engraving,24,0.506148,0.01553977406515887,0.478682,0.020350406443564943
impressionism,0,0.105734,0.025575482683768906,0.105734,0.025575482683768906
impressionism,1,0.18653,0.02070615459706047,0.148694,0.023016224425674733
impressionism,2,0.18426,0.02042775299814343,0.150658,0.023611816507998033
impressionism,3,0.189156,0.020117064025908453,0.159831,0.022871841388240166
impressionism,4,0.19186,0.019915630305084888,0.162411,0.021879150791332565
impressionism,8,0.211902,0.019449650712544942,0.2029,0.022669635859344176
impressionism,12,0.237095,0.019028918606505896,0.258208,0.020160752805947004
impressionism,16,0.246675,0.01865395591844712,0.373158,0.016324672256418312
impressionism,20,0.250136,0.018395008522833895,0.401768,0.016275412014171948
impressionism,24,0.310309,0.01807456075037364,0.397018,0.01583677129465921
