scene,baseline,AbsRel,RMSE,chamfer,fscore,precision,recall
scene_1,oil_painting_100_0blocks,0.063251,0.126791,0.337389,0.049229,0.0505,0.04802
scene_10,oil_painting_100_0blocks,0.089927,1.638565,1.608383,0.033129,0.02466,0.05046
scene_101,oil_painting_100_0blocks,0.125625,0.097753,0.175297,0.046312,0.03664,0.06292
scene_102,oil_painting_100_0blocks,0.148314,2.523671,0.898117,0.163563,0.15536,0.17268
scene_103,oil_painting_100_0blocks,0.083451,1.970349,1.747674,0.144551,0.11626,0.19104
scene_104,oil_painting_100_0blocks,0.110503,0.245801,0.155237,3.9e-05,0.00116,2e-05
scene_105,oil_painting_100_0blocks,0.130179,0.211902,0.125562,0.038377,0.03004,0.05312
scene_106,oil_painting_100_0blocks,0.08535,0.769875,0.584257,0.067718,0.05736,0.08264
scene_107,oil_painting_100_0blocks,0.066008,0.167056,0.160181,0.045448,0.03692,0.0591
scene_109,oil_painting_100_0blocks,0.113617,0.239751,0.044207,0.214785,0.17716,0.2727
scene_11,oil_painting_100_0blocks,0.09101,3.185183,1.139668,0.489514,0.47816,0.50142
scene_110,oil_painting_100_0blocks,0.397472,6.454929,3.944507,0.066651,0.05304,0.08966
scene_111,oil_painting_100_0blocks,0.122075,2.973802,2.393269,0.063835,0.05644,0.07346
scene_112,oil_painting_100_0blocks,0.122136,0.85972,1.004042,0.056332,0.04494,0.07546
scene_12,oil_painting_100_0blocks,0.106268,0.230864,0.106245,0.037659,0.04726,0.0313
scene_13,oil_painting_100_0blocks,0.121634,0.210142,0.197399,0.094684,0.07926,0.11756
scene_14,oil_painting_100_0blocks,0.053367,0.127168,0.099111,0.1195,0.10036,0.14766
scene_15,oil_painting_100_0blocks,0.098575,0.204794,0.088315,0.233027,0.17146,0.36358
scene_16,oil_painting_100_0blocks,0.186657,1.641489,1.114887,0.056619,0.0451,0.07604
scene_17,oil_painting_100_0blocks,0.0944,0.205766,0.127943,0.042705,0.05106,0.0367
scene_2,oil_painting_100_0blocks,0.118361,0.26993,0.179023,0.080634,0.06644,0.10254
scene_21,oil_painting_100_0blocks,0.104474,0.172207,0.068739,0.199987,0.1538,0.28582
scene_22,oil_painting_100_0blocks,0.113703,0.198728,0.056273,0.414086,0.35966,0.48792
scene_23,oil_painting_100_0blocks,0.089242,2.380676,3.266211,0.031618,0.02614,0.04
scene_24,oil_painting_100_0blocks,0.099282,1.611501,6.289177,0.000454,0.00078,0.00032
scene_25,oil_painting_100_0blocks,0.09825,0.225045,0.13252,0.094614,0.08562,0.10572
scene_26,oil_painting_100_0blocks,0.110822,0.238521,0.232324,0.048302,0.0558,0.04258
scene_27,oil_painting_100_0blocks,0.071544,0.405487,0.330837,0.145624,0.14924,0.14218
scene_29,oil_painting_100_0blocks,0.11605,1.355754,1.225883,0.035979,0.04112,0.03198
scene_30,oil_painting_100_0blocks,0.047798,0.113181,0.146288,0.243533,0.21466,0.28138
scene_31,oil_painting_100_0blocks,0.094914,0.198887,0.189233,0.052018,0.04374,0.06416
scene_32,oil_painting_100_0blocks,0.175087,0.466877,0.338671,0.035388,0.02706,0.05112
scene_33,oil_painting_100_0blocks,0.112534,0.206902,0.065745,0.465233,0.40864,0.54002
