scene,baseline,AbsRel,RMSE,chamfer,fscore,precision,recall
scene_0,photographs,0.019242,0.047791,0.357183,0.027238,0.0261,0.02848
scene_1,photographs,0.061916,0.12001,0.109163,0.175826,0.16904,0.18318
scene_10,photographs,0.083663,1.16884,5.207947,0.000122,0.00026,8e-05
scene_100,photographs,0.09926,13.244687,7.282687,0.165694,0.2141,0.13514
scene_101,photographs,0.078898,0.092999,0.131118,0.039514,0.03026,0.05692
scene_102,photographs,0.124322,2.162799,0.863885,0.05922,0.06628,0.05352
scene_103,photographs,0.08921,2.048321,7.213893,0.012852,0.01798,0.01
scene_104,photographs,0.065545,0.172184,0.092166,0.039726,0.45976,0.02076
scene_105,photographs,0.048116,0.152255,0.109037,0.056842,0.0463,0.0736
scene_106,photographs,0.085939,0.769538,1.035578,0.042584,0.04446,0.04086
scene_107,photographs,0.030408,0.12948,0.11677,0.053734,0.04228,0.0737
scene_108,photographs,0.123267,0.349579,0.481563,0.024935,0.0393,0.01826
scene_109,photographs,0.079391,0.222394,0.040245,0.288384,0.27988,0.29742
scene_11,photographs,0.105922,4.224196,4.931236,0.054858,0.04852,0.0631
scene_110,photographs,0.221126,7.399231,14.196349,0.004783,0.00806,0.0034
scene_111,photographs,0.074668,2.958966,3.872934,0.025955,0.02632,0.0256
scene_112,photographs,0.072294,0.605919,0.895909,0.056886,0.05302,0.06136
scene_12,photographs,0.084287,0.188731,0.108442,0.04038,0.07736,0.02732
scene_13,photographs,0.061447,0.189328,0.207449,0.050843,0.0459,0.05698
scene_14,photographs,0.042357,0.119213,0.051995,0.313186,0.30758,0.319
scene_15,photographs,0.064693,0.184053,0.205998,0.06448,0.05672,0.0747
scene_16,photographs,0.111362,1.332808,1.312045,0.052042,0.03728,0.08616
scene_17,photographs,0.055949,0.138638,0.101835,0.056425,0.06714,0.04866
scene_18,photographs,0.083624,0.216719,0.359296,0.064177,0.06968,0.05948
scene_19,photographs,0.27009,3.287545,14.251948,0.001024,0.00228,0.00066
scene_2,photographs,0.090488,0.219995,0.174584,0.078344,0.0642,0.10048
scene_20,photographs,0.131331,9.348648,5.568337,0.060055,0.06818,0.05366
scene_21,photographs,0.095558,0.189804,0.026733,0.684423,0.71294,0.6581
scene_22,photographs,0.090939,0.172592,0.222402,0.049035,0.05832,0.0423
scene_23,photographs,0.065564,1.973521,2.37168,0.075621,0.06704,0.08672
scene_24,photographs,0.079118,1.380176,8.361402,0.000477,0.00064,0.00038
scene_25,photographs,0.088724,0.214628,0.113644,0.16181,0.15482,0.16946
scene_26,photographs,0.08559,0.183598,0.238732,0.049089,0.05388,0.04508
scene_27,photographs,0.07119,0.483407,0.326935,0.121537,0.12214,0.12094
scene_28,photographs,0.132277,4.230782,6.613073,0.031795,0.0258,0.04142
scene_29,photographs,0.072806,1.088318,1.661425,0.039094,0.05068,0.03182
scene_3,photographs,0.091308,2.228272,2.006614,0.115079,0.11482,0.11534
scene_30,photographs,0.046301,0.124688,0.134242,0.276863,0.25308,0.30558
scene_31,photographs,0.071864,0.160832,0.173096,0.05317,0.0461,0.0628
scene_32,photographs,0.134752,0.327137,0.323722,0.027223,0.02238,0.03474
scene_33,photographs,0.084318,0.185456,0.043399,0.703487,0.7928,0.63226
scene_34,photographs,0.069208,0.176772,0.056796,0.438014,0.40718,0.4739
scene_35,photographs,0.057675,0.177073,0.116906,0.080963,0.08538,0.07698
scene_36,photographs,0.089183,0.595702,1.177727,0.061607,0.04992,0.08044
scene_37,photographs,0.058352,0.122647,0.051277,0.096304,0.10744,0.08726
scene_38,photographs,0.257119,4.576266,3.171124,0.029806,0.09002,0.01786
scene_39,photographs,0.121286,0.194663,0.378212,0.025387,0.01652,0.0548
scene_4,photographs,0.142236,26.966036,35.899139,0.047018,0.05662,0.0402
scene_40,photographs,0.045519,0.129926,0.083993,0.058404,0.05198,0.06664
scene_41,photographs,0.056052,0.566269,0.314427,0.271785,0.27822,0.26564
scene_42,photographs,0.088009,0.548721,0.607827,0.068184,0.08638,0.05632
