scene,baseline,AbsRel,RMSE,chamfer,fscore,precision,recall
scene_1,photographs_100_0blocks,0.060285,0.119567,0.174609,0.080812,0.08372,0.0781
scene_10,photographs_100_0blocks,0.083364,1.515022,2.856693,0.011874,0.01572,0.00954
scene_101,photographs_100_0blocks,0.074678,0.089275,0.130148,0.039257,0.03174,0.05144
scene_102,photographs_100_0blocks,0.11913,2.374021,1.032398,0.046138,0.0536,0.0405
scene_103,photographs_100_0blocks,0.077959,1.763159,4.175991,0.019964,0.01696,0.02426
scene_104,photographs_100_0blocks,0.063927,0.154306,0.130041,0.037596,0.41046,0.0197
scene_105,photographs_100_0blocks,0.045869,0.153261,0.177784,0.024277,0.02168,0.02758
scene_106,photographs_100_0blocks,0.088024,0.78167,0.754088,0.049496,0.0549,0.04506
scene_107,photographs_100_0blocks,0.023685,0.112013,0.179603,0.043593,0.03576,0.05582
scene_109,photographs_100_0blocks,0.078807,0.208871,0.078271,0.141011,0.13738,0.14484
scene_11,photographs_100_0blocks,0.093264,3.469441,5.28303,0.060292,0.05902,0.06162
scene_110,photographs_100_0blocks,0.351667,6.090682,8.506755,0.003102,0.00468,0.00232
scene_111,photographs_100_0blocks,0.073357,2.662722,2.640175,0.04312,0.0431,0.04314
scene_112,photographs_100_0blocks,0.075399,0.55901,0.903109,0.04097,0.04096,0.04098
scene_12,photographs_100_0blocks,0.084898,0.191088,0.12226,0.030672,0.05614,0.0211
scene_13,photographs_100_0blocks,0.060641,0.168197,0.194818,0.109237,0.08756,0.14518
scene_14,photographs_100_0blocks,0.045481,0.128128,0.326534,0.009407,0.01662,0.00656
scene_15,photographs_100_0blocks,0.062397,0.183538,0.238518,0.043526,0.03794,0.05104
scene_16,photographs_100_0blocks,0.100162,1.273769,1.682372,0.015967,0.03014,0.01086
scene_17,photographs_100_0blocks,0.049541,0.141642,0.110929,0.072187,0.10288,0.0556
scene_2,photographs_100_0blocks,0.091849,0.224192,0.209731,0.042885,0.03776,0.04962
scene_21,photographs_100_0blocks,0.090778,0.169627,0.043834,0.44645,0.4464,0.4465
scene_22,photographs_100_0blocks,0.087485,0.166452,0.063805,0.595969,0.62074,0.5731
scene_23,photographs_100_0blocks,0.075651,2.189109,2.750246,0.044918,0.03576,0.06038
scene_24,photographs_100_0blocks,0.066275,1.231154,9.487936,0.000178,0.0002,0.00016
scene_25,photographs_100_0blocks,0.087857,0.210816,0.122883,0.13538,0.1294,0.14194
scene_26,photographs_100_0blocks,0.084027,0.189617,0.201691,0.04118,0.04534,0.03772
scene_27,photographs_100_0blocks,0.069035,0.427071,0.432797,0.049949,0.092,0.03428
scene_29,photographs_100_0blocks,0.071574,1.091596,1.71839,0.023534,0.03972,0.01672
scene_3,photographs_100_0blocks,0.094925,1.861185,1.405041,0.084342,0.08762,0.0813
scene_30,photographs_100_0blocks,0.046381,0.103424,0.099521,0.28786,0.27704,0.29956
scene_31,photographs_100_0blocks,0.058156,0.154423,0.173206,0.04169,0.03368,0.0547
scene_32,photographs_100_0blocks,0.118147,0.38017,0.621441,0.01205,0.01052,0.0141
scene_33,photographs_100_0blocks,0.100481,0.207164,0.061799,0.57841,0.63124,0.53374
scene_34,photographs_100_0blocks,0.063101,0.172873,0.371921,0.029469,0.03536,0.02526
scene_35,photographs_100_0blocks,0.053889,0.148088,0.13374,0.094707,0.10346,0.08732
scene_36,photographs_100_0blocks,0.085127,0.619556,3.849008,0.001691,0.00312,0.00116
scene_37,photographs_100_0blocks,0.06439,0.124654,0.134263,4e-05,0.0052,2e-05
scene_38,photographs_100_0blocks,0.30597,5.648098,3.166576,0.054943,0.12462,0.03524
scene_39,photographs_100_0blocks,0.113718,0.200919,0.238353,0.018462,0.01412,0.02666
scene_4,photographs_100_0blocks,0.15733,32.563391,17.858809,0.070863,0.0597,0.08716
scene_41,photographs_100_0blocks,0.056561,0.589954,2.441952,0.021098,0.02458,0.01848
scene_42,photographs_100_0blocks,0.083835,0.519149,0.638355,0.061159,0.0444,0.09824
scene_44,photographs_100_0blocks,0.079136,0.15084,0.137495,0.047024,0.0451,0.04912
scene_45,photographs_100_0blocks,0.069868,0.129026,0.054304,0.44325,0.41528,0.47526
scene_46,photographs_100_0blocks,0.036055,0.277839,0.89961,0.0,0.0,0.0
scene_47,photographs_100_0blocks,0.076957,0.525944,0.849381,0.064268,0.057,0.07366
scene_48,photographs_100_0blocks,0.047384,0.125814,0.105897,0.122557,0.12602,0.11928
scene_49,photographs_100_0blocks,0.082789,0.592907,0.555412,0.042187,0.05332,0.0349
