scene,baseline,AbsRel,RMSE,chamfer,fscore,precision,recall
scene_1,watercolor_100_0blocks,0.061229,0.121442,0.19016,0.122227,0.10404,0.14812
scene_10,watercolor_100_0blocks,0.109386,1.839756,1.886555,0.054437,0.05264,0.05636
scene_101,watercolor_100_0blocks,0.171786,0.103029,0.124382,0.078622,0.05188,0.16226
scene_102,watercolor_100_0blocks,0.179413,2.814523,1.169587,0.070453,0.0607,0.08394
scene_103,watercolor_100_0blocks,0.096873,1.953259,3.687411,0.024218,0.02036,0.02988
scene_104,watercolor_100_0blocks,0.119393,0.212953,0.127175,0.012231,0.01258,0.0119
scene_105,watercolor_100_0blocks,0.137006,0.222062,0.106743,0.046298,0.03604,0.06472
scene_106,watercolor_100_0blocks,0.095477,0.783408,0.806828,0.057495,0.05132,0.06536
scene_107,watercolor_100_0blocks,0.155247,0.263535,0.298736,0.000477,0.00032,0.00094
scene_109,watercolor_100_0blocks,0.154799,0.278513,0.077228,0.166183,0.17178,0.16094
scene_11,watercolor_100_0blocks,0.081059,2.917218,5.088411,0.046051,0.03894,0.05634
scene_110,watercolor_100_0blocks,0.460754,6.339877,16.830935,0.0023,0.00542,0.00146
scene_111,watercolor_100_0blocks,0.168275,3.658327,2.237372,0.07157,0.05764,0.09438
scene_112,watercolor_100_0blocks,0.145392,0.810879,1.246093,0.037208,0.03094,0.04666
scene_12,watercolor_100_0blocks,0.115358,0.217306,0.093115,0.078343,0.07136,0.08684
scene_13,watercolor_100_0blocks,0.200294,0.287698,0.204206,0.072162,0.06182,0.08666
scene_14,watercolor_100_0blocks,0.159419,0.204888,0.104414,0.081152,0.0676,0.1015
scene_15,watercolor_100_0blocks,0.103986,0.222584,0.086884,0.275672,0.21448,0.38572
scene_16,watercolor_100_0blocks,0.291667,2.211941,1.228943,0.019105,0.01282,0.03748
scene_17,watercolor_100_0blocks,0.126804,0.228944,0.157069,0.0244,0.03734,0.01812
scene_2,watercolor_100_0blocks,0.15885,0.300575,0.203016,0.065665,0.05466,0.08222
scene_21,watercolor_100_0blocks,0.123349,0.207726,0.101789,0.177583,0.14146,0.23848
scene_22,watercolor_100_0blocks,0.115032,0.200716,0.130761,0.119791,0.1025,0.1441
scene_23,watercolor_100_0blocks,0.16197,3.235084,2.967435,0.007831,0.00556,0.01324
scene_24,watercolor_100_0blocks,0.120366,1.70169,5.905308,0.000245,0.00052,0.00016
scene_25,watercolor_100_0blocks,0.122467,0.25028,0.127839,0.098939,0.08402,0.1203
scene_26,watercolor_100_0blocks,0.130689,0.27169,0.181869,0.06067,0.065,0.05688
scene_27,watercolor_100_0blocks,0.06715,0.393425,0.334438,0.141571,0.13898,0.14426
scene_29,watercolor_100_0blocks,0.230352,1.594878,2.437909,0.00866,0.01224,0.0067
scene_30,watercolor_100_0blocks,0.04988,0.108702,1.38324,0.007923,0.01684,0.00518
scene_31,watercolor_100_0blocks,0.137045,0.254414,0.193402,0.025589,0.02022,0.03484
scene_32,watercolor_100_0blocks,0.202114,0.465054,0.577918,0.007017,0.00544,0.00988
scene_33,watercolor_100_0blocks,0.127035,0.210082,0.226026,0.049231,0.04232,0.05884
scene_34,watercolor_100_0blocks,0.083817,0.221501,0.106796,0.148477,0.1082,0.23652
scene_35,watercolor_100_0blocks,0.075692,0.175686,0.155985,0.055939,0.04638,0.07046
scene_36,watercolor_100_0blocks,0.205079,0.988768,1.380018,0.011879,0.0194,0.00856
scene_37,watercolor_100_0blocks,0.102628,0.179678,0.043076,0.046299,0.05358,0.04076
scene_38,watercolor_100_0blocks,0.314706,5.09336,3.500013,0.027359,0.02754,0.02718
scene_39,watercolor_100_0blocks,0.192435,0.201023,0.197054,0.062695,0.04838,0.08904
scene_4,watercolor_100_0blocks,0.155843,33.906145,18.211346,0.080907,0.06916,0.09746
scene_41,watercolor_100_0blocks,0.051567,0.410697,2.572951,0.018076,0.0189,0.01732
scene_44,watercolor_100_0blocks,0.102984,0.154173,0.093713,0.094386,0.09072,0.09836
scene_45,watercolor_100_0blocks,0.084942,0.162614,0.040544,0.569601,0.5107,0.64386
scene_46,watercolor_100_0blocks,0.057598,0.308045,0.601692,0.0,0.0,0.0
scene_47,watercolor_100_0blocks,0.179516,0.660077,0.609603,0.128148,0.11562,0.14372
scene_48,watercolor_100_0blocks,0.079124,0.116012,0.13211,0.117406,0.09094,0.1656
scene_49,watercolor_100_0blocks,0.124242,0.639774,0.717029,0.04416,0.03586,0.05746
scene_50,watercolor_100_0blocks,0.145829,0.205228,0.200043,0.046106,0.04566,0.04656
scene_52,watercolor_100_0blocks,0.169844,30.249505,19.907153,0.085735,0.07748,0.09596
scene_55,watercolor_100_0blocks,0.10008,2.224415,7.064347,0.015407,0.02278,0.01164
scene_56,watercolor_100_0blocks,0.049067,0.085899,0.027278,0.182868,0.16782,0.20088
scene_57,watercolor_100_0blocks,0.242856,1.471273,2.063288,0.029868,0.0252,0.03666
scene_59,watercolor_100_0blocks,0.154381,1.989073,1.649398,0.029565,0.02436,0.0376
scene_60,watercolor_100_0blocks,0.114086,0.267846,0.233563,0.076528,0.07348,0.07984
scene_61,watercolor_100_0blocks,0.352898,0.557023,0.528194,0.009696,0.0066,0.01826
scene_64,watercolor_100_0blocks,0.085034,14.61901,29.862085,0.116279,0.1351,0.10206
scene_66,watercolor_100_0blocks,0.101801,16.646217,15.150994,0.039043,0.03252,0.04884
scene_67,watercolor_100_0blocks,0.111695,17.411336,15.834028,0.05206,0.04288,0.06624
scene_71,watercolor_100_0blocks,0.187634,0.30013,0.158299,0.084481,0.0693,0.10818
scene_72,watercolor_100_0blocks,0.125179,0.262998,0.249179,0.051808,0.06234,0.04432
scene_73,watercolor_100_0blocks,0.136738,0.31287,0.14414,0.13559,0.10194,0.2024
scene_75,watercolor_100_0blocks,0.103441,13.382788,8.004105,0.112674,0.08848,0.15508
scene_78,watercolor_100_0blocks,0.156234,0.189109,0.3323,0.047352,0.03766,0.06376
scene_79,watercolor_100_0blocks,0.324129,0.418796,0.211315,0.061103,0.04148,0.11596
scene_8,watercolor_100_0blocks,0.130062,1.192034,1.534418,0.047757,0.0452,0.05062
scene_80,watercolor_100_0blocks,0.131878,0.245827,0.152772,0.054816,0.04406,0.07252
scene_81,watercolor_100_0blocks,0.113697,0.234403,0.13453,0.062622,0.42522,0.0338
scene_85,watercolor_100_0blocks,0.272233,0.263538,0.232811,0.04278,0.02994,0.0749
scene_87,watercolor_100_0blocks,0.089006,0.205227,0.190357,0.086316,0.08188,0.09126
scene_89,watercolor_100_0blocks,0.178277,0.278746,0.085436,0.03176,0.02694,0.03868
scene_9,watercolor_100_0blocks,0.124331,0.325646,0.450717,0.071924,0.0564,0.09924
scene_90,watercolor_100_0blocks,0.415327,1.222347,0.855351,0.089275,0.0727,0.11564
scene_92,watercolor_100_0blocks,0.117236,13.878255,17.980807,0.032309,0.0283,0.03764
scene_93,watercolor_100_0blocks,0.302805,0.284932,0.21694,0.046276,0.02978,0.10374
scene_95,watercolor_100_0blocks,0.194061,0.32274,0.309943,0.044694,0.03518,0.06126
scene_96,watercolor_100_0blocks,0.092388,0.118086,0.234613,0.056336,0.051,0.06292
scene_98,watercolor_100_0blocks,0.314599,0.262997,0.176455,0.085332,0.06416,0.12736
MEAN,watercolor_100_0blocks,0.153596,2.565355,2.637143,0.070714,0.066636,0.087205
MEDIAN,watercolor_100_0blocks,0.130062,0.30013,0.249179,0.054816,0.04838,0.06536
