scene,baseline,AbsRel,RMSE,chamfer,fscore,precision,recall
scene_1,mixed_lora_gray_consistency_step2500,0.062374,0.100115,0.186502,0.119747,0.0861,0.19656
scene_10,mixed_lora_gray_consistency_step2500,0.089862,1.369649,1.461402,0.032142,0.02418,0.04792
scene_101,mixed_lora_gray_consistency_step2500,0.118121,0.104498,0.100782,0.065599,0.04232,0.1458
scene_102,mixed_lora_gray_consistency_step2500,0.120703,2.36986,0.591714,0.170951,0.1281,0.25688
scene_103,mixed_lora_gray_consistency_step2500,0.080772,1.870333,3.5142,0.046828,0.03534,0.06938
scene_104,mixed_lora_gray_consistency_step2500,0.080605,0.111694,0.045353,0.050212,0.03878,0.0712
scene_105,mixed_lora_gray_consistency_step2500,0.116247,0.189242,0.133951,0.039227,0.03198,0.05072
scene_106,mixed_lora_gray_consistency_step2500,0.091895,0.748589,0.416456,0.069961,0.05198,0.10696
scene_107,mixed_lora_gray_consistency_step2500,0.052942,0.128176,0.139908,0.063272,0.0492,0.08862
scene_109,mixed_lora_gray_consistency_step2500,0.080291,0.209445,0.072948,0.161639,0.13704,0.197
scene_11,mixed_lora_gray_consistency_step2500,0.072733,3.045723,6.328968,0.057616,0.0426,0.08898
scene_110,mixed_lora_gray_consistency_step2500,0.470731,6.098386,7.148155,0.024454,0.0154,0.05934
scene_111,mixed_lora_gray_consistency_step2500,0.098726,2.720771,2.175321,0.058164,0.0489,0.07176
scene_112,mixed_lora_gray_consistency_step2500,0.085806,0.606062,0.808509,0.034995,0.02588,0.05402
scene_12,mixed_lora_gray_consistency_step2500,0.095098,0.16414,0.072117,0.070996,0.0584,0.09052
scene_13,mixed_lora_gray_consistency_step2500,0.102506,0.208881,0.174356,0.073591,0.05878,0.09838
scene_14,mixed_lora_gray_consistency_step2500,0.088367,0.150365,0.104475,0.075143,0.06222,0.09484
scene_15,mixed_lora_gray_consistency_step2500,0.103033,0.211386,0.090467,0.216102,0.16956,0.29786
scene_16,mixed_lora_gray_consistency_step2500,0.149136,1.580213,1.858239,0.016912,0.03164,0.01154
scene_17,mixed_lora_gray_consistency_step2500,0.062623,0.142497,0.123132,0.051745,0.07366,0.03988
scene_2,mixed_lora_gray_consistency_step2500,0.108114,0.244406,0.211798,0.047575,0.03734,0.06554
scene_21,mixed_lora_gray_consistency_step2500,0.093038,0.173065,0.084057,0.170711,0.12486,0.26978
scene_22,mixed_lora_gray_consistency_step2500,0.102222,0.188022,0.058216,0.327632,0.2598,0.4434
scene_23,mixed_lora_gray_consistency_step2500,0.11278,2.49181,2.389834,0.043291,0.03588,0.05456
scene_24,mixed_lora_gray_consistency_step2500,0.079022,1.310763,8.849402,0.000384,0.00044,0.00034
scene_25,mixed_lora_gray_consistency_step2500,0.083962,0.207815,0.113168,0.12128,0.09684,0.16222
scene_26,mixed_lora_gray_consistency_step2500,0.105123,0.217353,0.19712,0.049438,0.0447,0.0553
scene_27,mixed_lora_gray_consistency_step2500,0.068234,0.338639,0.316577,0.090981,0.0849,0.098
scene_29,mixed_lora_gray_consistency_step2500,0.123754,1.383265,1.797163,0.024657,0.0224,0.02742
scene_3,mixed_lora_gray_consistency_step2500,0.07793,1.522334,1.71248,0.095828,0.10078,0.09134
scene_30,mixed_lora_gray_consistency_step2500,0.050541,0.101529,0.783353,0.03619,0.04868,0.0288
scene_31,mixed_lora_gray_consistency_step2500,0.099966,0.191148,0.189255,0.037231,0.02814,0.055
scene_32,mixed_lora_gray_consistency_step2500,0.149489,0.377702,0.556796,0.003223,0.00236,0.00508
scene_33,mixed_lora_gray_consistency_step2500,0.123355,0.211195,0.087253,0.161116,0.12354,0.23154
scene_34,mixed_lora_gray_consistency_step2500,0.066756,0.185219,0.096352,0.127283,0.08982,0.21836
scene_35,mixed_lora_gray_consistency_step2500,0.056896,0.167781,0.131953,0.083756,0.07408,0.09634
scene_36,mixed_lora_gray_consistency_step2500,0.120487,0.756175,3.773761,0.003449,0.00566,0.00248
scene_37,mixed_lora_gray_consistency_step2500,0.105395,0.129562,0.030669,0.02839,0.02178,0.04076
scene_38,mixed_lora_gray_consistency_step2500,0.269593,4.328189,4.609585,0.010114,0.01616,0.00736
scene_39,mixed_lora_gray_consistency_step2500,0.16588,0.199357,0.162212,0.037024,0.02568,0.06632
scene_4,mixed_lora_gray_consistency_step2500,0.137597,28.75721,20.577761,0.066744,0.05606,0.08246
scene_41,mixed_lora_gray_consistency_step2500,0.044568,0.382611,2.133283,0.024149,0.02048,0.02942
scene_42,mixed_lora_gray_consistency_step2500,0.199807,0.596696,2.901074,0.001755,0.00468,0.00108
scene_44,mixed_lora_gray_consistency_step2500,0.08879,0.149305,0.135038,0.085171,0.06798,0.114
scene_45,mixed_lora_gray_consistency_step2500,0.067004,0.134556,0.062376,0.265298,0.19686,0.40668
scene_46,mixed_lora_gray_consistency_step2500,0.056566,0.29015,0.548524,0.004701,0.00282,0.01412
