scene,baseline,AbsRel,RMSE,chamfer,fscore,precision,recall
scene_1,photographs_100_lora_consistency_step2500,0.060008,0.100039,0.204942,0.099962,0.07082,0.16986
scene_10,photographs_100_lora_consistency_step2500,0.081461,1.308315,1.600379,0.03088,0.02174,0.05328
scene_101,photographs_100_lora_consistency_step2500,0.085784,0.098913,0.113756,0.051981,0.0331,0.121
scene_102,photographs_100_lora_consistency_step2500,0.113655,2.325529,1.551514,0.041815,0.03578,0.0503
scene_103,photographs_100_lora_consistency_step2500,0.072337,1.794815,2.998325,0.037308,0.02534,0.0707
scene_104,photographs_100_lora_consistency_step2500,0.059343,0.110783,0.160019,7.5e-05,0.00064,4e-05
scene_105,photographs_100_lora_consistency_step2500,0.06014,0.153829,0.065198,0.074862,0.05678,0.10984
scene_106,photographs_100_lora_consistency_step2500,0.083069,0.734938,1.280095,0.021128,0.01786,0.02586
scene_107,photographs_100_lora_consistency_step2500,0.033614,0.116054,0.155077,0.041634,0.0297,0.0696
scene_109,photographs_100_lora_consistency_step2500,0.073544,0.189911,0.050988,0.216095,0.18372,0.26232
scene_11,photographs_100_lora_consistency_step2500,0.077562,3.030671,5.80293,0.044483,0.03584,0.05862
scene_110,photographs_100_lora_consistency_step2500,0.423818,5.619694,4.946177,0.042476,0.02964,0.07492
scene_111,photographs_100_lora_consistency_step2500,0.079969,2.62344,2.943049,0.033462,0.02708,0.04378
scene_112,photographs_100_lora_consistency_step2500,0.064545,0.539462,0.750551,0.059696,0.04732,0.08084
scene_12,photographs_100_lora_consistency_step2500,0.080232,0.158691,0.105938,0.036173,0.04014,0.03292
scene_13,photographs_100_lora_consistency_step2500,0.071085,0.178119,0.164044,0.071531,0.05656,0.09728
scene_14,photographs_100_lora_consistency_step2500,0.048724,0.117205,0.082445,0.210812,0.20424,0.21782
scene_15,photographs_100_lora_consistency_step2500,0.067912,0.192152,0.085033,0.251443,0.20132,0.3348
scene_16,photographs_100_lora_consistency_step2500,0.145385,1.444033,2.005749,0.015097,0.0322,0.00986
scene_17,photographs_100_lora_consistency_step2500,0.047484,0.114743,0.121368,0.060314,0.08428,0.04696
scene_2,photographs_100_lora_consistency_step2500,0.090056,0.227062,0.210926,0.050967,0.04038,0.06908
scene_21,photographs_100_lora_consistency_step2500,0.077598,0.160386,0.063028,0.259913,0.20056,0.36916
scene_22,photographs_100_lora_consistency_step2500,0.083615,0.17,0.31262,0.045924,0.0348,0.0675
scene_23,photographs_100_lora_consistency_step2500,0.071944,2.066624,2.550795,0.033735,0.0246,0.05366
scene_24,photographs_100_lora_consistency_step2500,0.067192,1.214624,8.728383,0.000189,0.0002,0.00018
scene_25,photographs_100_lora_consistency_step2500,0.073756,0.200076,0.120948,0.132923,0.0969,0.21158
scene_26,photographs_100_lora_consistency_step2500,0.084326,0.193225,0.199401,0.045968,0.0416,0.05136
scene_27,photographs_100_lora_consistency_step2500,0.053495,0.38005,0.431429,0.059037,0.06866,0.05178
scene_29,photographs_100_lora_consistency_step2500,0.076839,1.166416,2.641993,0.023958,0.04,0.0171
scene_3,photographs_100_lora_consistency_step2500,0.083837,1.668174,1.370046,0.089012,0.08602,0.09222
scene_30,photographs_100_lora_consistency_step2500,0.049095,0.10459,0.56511,0.038285,0.04782,0.03192
scene_31,photographs_100_lora_consistency_step2500,0.066328,0.166962,0.183986,0.036119,0.02732,0.05328
