# Per-model stats
model,chamfer_mean,chamfer_median,precision_mean,precision_median,recall_mean,recall_median,fscore_mean,fscore_median
baseline,1.0954213375,0.15009850000000002,0.11528624999999999,0.09781999999999999,0.17829075,0.15639999999999998,0.13652478750000002,0.123439
lora_consistency,1.1937026625,0.203481,0.108917,0.10131000000000001,0.1608355,0.12603,0.12584986250000002,0.113337
lora_mixed_gray,1.2129001125,0.2026535,0.096943,0.10084,0.15903225000000001,0.1346,0.1178310625,0.11296300000000001

# Per-scene stats
scene,chamfer_mean,chamfer_median,precision_mean,precision_median,recall_mean,recall_median,fscore_mean,fscore_median
scene_1,0.064506,0.065103,0.1515,0.14834,0.36800000000000005,0.35796,0.21463333333333334,0.209756
scene_10,1.5538889999999999,1.636576,0.02094,0.00692,0.03146,0.01554,0.024775000000000002,0.009576
scene_101,0.033941,0.032858,0.17237999999999998,0.182,0.4161333333333334,0.4176,0.24308733333333332,0.250624
scene_102,2.182433,2.391944,0.014726666666666666,0.01488,0.03627333333333333,0.0345,0.020842666666666666,0.021795
scene_103,1.1225703333333332,1.149286,0.12394666666666666,0.11462,0.24473999999999999,0.23232,0.16409666666666667,0.150078
scene_104,0.026421666666666666,0.029064,0.12632666666666667,0.11554,0.20665999999999998,0.1728,0.15664833333333333,0.138485
scene_105,0.09272200000000001,0.093728,0.05860666666666667,0.04944,0.09288,0.07288,0.071604,0.058914
scene_106,0.657645,0.71575,0.08456000000000001,0.0612,0.09617333333333333,0.06468,0.08995566666666666,0.062892
scene_107,0.089478,0.08764,0.07222666666666666,0.0721,0.09766666666666668,0.09886,0.08296366666666667,0.083719
scene_109,0.100542,0.095135,0.13618666666666665,0.12522,0.15231999999999998,0.13968,0.14378166666666667,0.132055
scene_11,1.7363133333333334,1.726122,0.14114000000000002,0.1413,0.2582333333333333,0.25614,0.18168700000000002,0.182129
scene_110,2.1904163333333333,2.176836,0.10908,0.11546,0.20452666666666666,0.20668,0.14224166666666668,0.148155
scene_111,1.0175876666666666,1.00538,0.11710666666666668,0.12606,0.18131333333333333,0.18884,0.142015,0.151192
scene_112,0.263149,0.252236,0.1436,0.1516,0.20709999999999998,0.2077,0.16949,0.17527
scene_12,0.10605866666666668,0.104358,0.043333333333333335,0.04024,0.03522,0.0267,0.038491000000000004,0.031277
scene_13,0.13745,0.130835,0.07218666666666666,0.08396,0.10857333333333334,0.13544,0.086409,0.103806
scene_14,0.069514,0.076183,0.14328666666666665,0.11782,0.16491999999999998,0.13478,0.15323933333333334,0.125731
scene_15,0.11908599999999998,0.118139,0.15616666666666668,0.15836,0.11741333333333333,0.11128,0.13397233333333333,0.13071
scene_16,0.9720686666666666,0.935969,0.03454666666666667,0.03262,0.07794666666666666,0.08554,0.047629333333333336,0.048033
scene_17,0.10066833333333332,0.098309,0.07432,0.07022,0.05208666666666667,0.05304,0.06102666666666667,0.063105
scene_2,0.13811500000000002,0.143858,0.10387333333333333,0.09966,0.10719333333333332,0.0884,0.10399633333333334,0.093693
scene_21,0.09587066666666666,0.09759,0.11990666666666666,0.12174,0.21099333333333337,0.21138,0.152902,0.154499
scene_22,0.08307233333333335,0.084126,0.15584666666666666,0.15944,0.25248,0.21106,0.19185766666666668,0.181654
scene_23,2.2600716666666667,2.286038,0.06798666666666667,0.06504,0.049326666666666664,0.05138,0.05576333333333333,0.057237
scene_24,1.5253973333333333,1.377408,0.04405333333333333,0.04456,0.060526666666666666,0.064,0.050584333333333335,0.052539
scene_25,0.14881033333333335,0.133356,0.08850000000000001,0.08422,0.10511999999999999,0.12344,0.09552133333333335,0.100126
scene_26,0.132221,0.129966,0.05842666666666666,0.06392,0.07594,0.08272,0.06565466666666667,0.072115
scene_27,0.47855333333333333,0.469034,0.01646,0.01552,0.024073333333333335,0.02496,0.019462999999999998,0.019347
scene_29,0.42297399999999996,0.421795,0.21181333333333333,0.20884,0.27847333333333335,0.2701,0.24048000000000003,0.235552
scene_3,0.5856353333333333,0.560286,0.21675333333333335,0.22516,0.37810000000000005,0.393,0.2754433333333333,0.286294
scene_30,0.134302,0.145683,0.12736,0.1237,0.21515333333333334,0.2139,0.15993833333333332,0.15675
scene_31,0.11790733333333332,0.117853,0.023753333333333335,0.02224,0.04432,0.03602,0.030843,0.0275
scene_32,0.5165413333333333,0.541241,0.004693333333333333,0.0039,0.011353333333333333,0.0125,0.006563,0.005734
scene_33,0.11660833333333333,0.117033,0.1253,0.12816,0.15535333333333334,0.15308,0.13852466666666666,0.139091
scene_34,0.07781,0.080185,0.19881333333333331,0.1865,0.32248000000000004,0.31738,0.24567566666666665,0.234942
scene_35,0.17693833333333334,0.173065,0.04122666666666667,0.0422,0.05898,0.06094,0.048362666666666665,0.051299
scene_36,2.803656,2.76479,0.010653333333333334,0.01176,0.00272,0.00226,0.0043,0.00365
scene_37,0.037414,0.038086,0.048806666666666665,0.05178,0.04053333333333333,0.02584,0.04182333333333333,0.032723
scene_38,1.6153746666666666,1.536845,0.08632666666666666,0.0865,0.07002666666666667,0.06652,0.07663866666666667,0.075401
scene_39,0.103275,0.103302,0.058286666666666674,0.05518,0.16354666666666665,0.17856,0.08565166666666667,0.084307
scene_4,6.930709666666666,7.013871,0.21274,0.20944,0.28397333333333336,0.30662,0.24222200000000002,0.251698
scene_41,0.27865866666666667,0.274256,0.17852,0.1877,0.3212933333333333,0.32538,0.22944066666666665,0.238067
scene_42,2.8494279999999996,2.713503,0.01272,0.00872,0.0018066666666666665,0.00092,0.003146666666666667,0.001664
scene_44,0.09984599999999999,0.092112,0.09008000000000001,0.0887,0.10461333333333334,0.11084,0.09622400000000002,0.098542
