scene,baseline,AbsRel,RMSE,chamfer,fscore,precision,recall
scene_1,impressionism_100_0blocks,0.059659,0.110681,0.146269,0.165765,0.14064,0.20182
scene_10,impressionism_100_0blocks,0.122194,1.919848,1.194226,0.044974,0.03804,0.055
scene_101,impressionism_100_0blocks,0.164635,0.085682,0.140377,0.076409,0.05274,0.13862
scene_102,impressionism_100_0blocks,0.188893,2.858659,0.974785,0.159424,0.12632,0.21604
scene_103,impressionism_100_0blocks,0.100193,2.032641,4.663067,0.013422,0.01284,0.01406
scene_104,impressionism_100_0blocks,0.084841,0.09729,0.054078,0.061161,0.04296,0.10612
scene_105,impressionism_100_0blocks,0.154798,0.232683,0.117397,0.050498,0.0394,0.0703
scene_106,impressionism_100_0blocks,0.101386,0.818982,0.902905,0.052867,0.04652,0.06122
scene_107,impressionism_100_0blocks,0.076348,0.123056,0.267471,0.007379,0.00538,0.01174
scene_109,impressionism_100_0blocks,0.146012,0.202929,0.250466,0.061768,0.06606,0.058
scene_11,impressionism_100_0blocks,0.081523,2.859345,5.318999,0.058635,0.04514,0.08364
scene_110,impressionism_100_0blocks,0.458727,6.354142,16.903776,0.001822,0.00424,0.00116
scene_111,impressionism_100_0blocks,0.166372,3.454514,2.408952,0.047051,0.03726,0.06382
scene_112,impressionism_100_0blocks,0.139693,0.796092,1.670531,0.007239,0.0079,0.00668
scene_12,impressionism_100_0blocks,0.091652,0.123413,0.078296,0.045586,0.03222,0.0779
scene_13,impressionism_100_0blocks,0.199726,0.273336,0.238672,0.063305,0.05004,0.08614
scene_14,impressionism_100_0blocks,0.085023,0.160071,0.324771,0.041024,0.03434,0.05094
scene_15,impressionism_100_0blocks,0.081287,0.190377,0.07677,0.428028,0.34148,0.57334
scene_16,impressionism_100_0blocks,0.293165,1.918063,2.094351,0.015531,0.00962,0.04028
scene_17,impressionism_100_0blocks,0.12517,0.252019,0.138945,0.018628,0.02026,0.01724
scene_2,impressionism_100_0blocks,0.175965,0.312229,0.164788,0.068033,0.07292,0.06376
scene_21,impressionism_100_0blocks,0.108956,0.174303,0.125635,0.102534,0.08286,0.13446
scene_22,impressionism_100_0blocks,0.127576,0.204009,0.08343,0.165721,0.12676,0.23926
scene_23,impressionism_100_0blocks,0.159546,3.257032,2.541411,0.051831,0.06,0.04562
scene_24,impressionism_100_0blocks,0.127284,1.783451,2.913289,0.015043,0.01184,0.02062
scene_25,impressionism_100_0blocks,0.119944,0.251485,0.180102,0.075152,0.07876,0.07186
scene_26,impressionism_100_0blocks,0.137905,0.261009,0.168146,0.060978,0.06996,0.05404
scene_27,impressionism_100_0blocks,0.089244,0.447292,0.297335,0.139852,0.13574,0.14422
scene_29,impressionism_100_0blocks,0.215665,1.584203,3.59049,0.006809,0.0073,0.00638
scene_30,impressionism_100_0blocks,0.044874,0.099723,0.146442,0.294953,0.23478,0.3966
scene_31,impressionism_100_0blocks,0.116637,0.227932,0.180745,0.028872,0.02378,0.03674
scene_32,impressionism_100_0blocks,0.184378,0.418872,0.263441,0.051772,0.04344,0.06406
scene_33,impressionism_100_0blocks,0.129088,0.24008,0.116719,0.206002,0.16464,0.27512
scene_34,impressionism_100_0blocks,0.093494,0.216892,0.111281,0.15719,0.12564,0.2099
scene_35,impressionism_100_0blocks,0.075357,0.169491,0.153736,0.070178,0.0711,0.06928
scene_36,impressionism_100_0blocks,0.217514,0.987875,1.22438,0.012725,0.01248,0.01298
scene_37,impressionism_100_0blocks,0.10148,0.165515,0.044526,0.046397,0.04422,0.0488
scene_38,impressionism_100_0blocks,0.329161,4.509934,2.538951,0.036758,0.12946,0.02142
scene_39,impressionism_100_0blocks,0.188452,0.182217,0.14222,0.079384,0.06116,0.11308
scene_4,impressionism_100_0blocks,0.156769,34.859636,18.350524,0.082218,0.07288,0.0943
scene_41,impressionism_100_0blocks,0.045761,0.319778,1.941033,0.036286,0.03668,0.0359
scene_44,impressionism_100_0blocks,0.110542,0.151813,0.105983,0.168533,0.1856,0.15434
scene_45,impressionism_100_0blocks,0.079791,0.144688,0.045628,0.454375,0.38204,0.5605
scene_46,impressionism_100_0blocks,0.068048,0.267639,1.139206,8e-05,8e-05,8e-05
scene_47,impressionism_100_0blocks,0.108083,0.566744,0.61211,0.094965,0.09564,0.0943
scene_48,impressionism_100_0blocks,0.060795,0.105347,0.127018,0.103052,0.08554,0.12958
scene_49,impressionism_100_0blocks,0.114395,0.59278,0.606431,0.077296,0.06954,0.087
scene_50,impressionism_100_0blocks,0.147211,0.206659,0.188306,0.059545,0.06488,0.05502
scene_52,impressionism_100_0blocks,0.1601,29.286395,19.908476,0.063956,0.06304,0.0649
scene_55,impressionism_100_0blocks,0.118523,2.062829,7.048158,0.012264,0.01412,0.01084
scene_56,impressionism_100_0blocks,0.066327,0.080519,0.050368,0.061627,0.05806,0.06566
scene_57,impressionism_100_0blocks,0.23524,1.447765,1.608215,0.010644,0.01014,0.0112
scene_59,impressionism_100_0blocks,0.188313,2.068759,1.427362,0.064399,0.07558,0.0561
scene_60,impressionism_100_0blocks,0.116841,0.294374,0.20832,0.125087,0.1187,0.1322
scene_61,impressionism_100_0blocks,0.385285,0.612268,0.47254,0.026566,0.01534,0.09906
scene_64,impressionism_100_0blocks,0.077391,13.648285,36.252975,0.11675,0.11698,0.11652
scene_66,impressionism_100_0blocks,0.099405,17.219126,12.190982,0.063928,0.05468,0.07694
scene_67,impressionism_100_0blocks,0.106265,17.629276,18.688964,0.050916,0.05344,0.04862
scene_71,impressionism_100_0blocks,0.195835,0.284509,0.191165,0.060301,0.05516,0.0665
scene_72,impressionism_100_0blocks,0.108454,0.224126,0.326016,0.010755,0.011,0.01052
scene_73,impressionism_100_0blocks,0.11742,0.284528,0.245933,0.130991,0.10474,0.1748
scene_75,impressionism_100_0blocks,0.092578,13.498183,6.922665,0.112337,0.0929,0.14206
scene_78,impressionism_100_0blocks,0.1859,0.190267,0.215779,0.070877,0.05698,0.09374
scene_79,impressionism_100_0blocks,0.302527,0.386227,0.284208,0.065806,0.04802,0.10452
scene_8,impressionism_100_0blocks,0.156913,1.266242,0.673945,0.072596,0.05526,0.10578
scene_80,impressionism_100_0blocks,0.141898,0.251092,0.136362,0.086893,0.06982,0.11502
scene_81,impressionism_100_0blocks,0.114326,0.21025,0.121971,0.021689,0.01828,0.02666
scene_85,impressionism_100_0blocks,0.367464,0.294969,0.201065,0.045601,0.0316,0.08188
scene_87,impressionism_100_0blocks,0.115324,0.256326,0.175824,0.094065,0.08156,0.1111
scene_89,impressionism_100_0blocks,0.173519,0.249529,0.084853,0.055909,0.04118,0.08704
scene_9,impressionism_100_0blocks,0.120708,0.294469,0.387728,0.056435,0.039,0.10206
scene_90,impressionism_100_0blocks,0.404698,1.160562,0.91068,0.070594,0.08014,0.06308
