scene,baseline,AbsRel,RMSE,chamfer,fscore,precision,recall
scene_1,impressionism_lora,0.06463,0.109461,0.22233,0.102496,0.07084,0.1853
scene_10,impressionism_lora,0.093984,1.545418,1.865157,0.022672,0.0155,0.0422
scene_101,impressionism_lora,0.135351,0.075182,0.106091,0.078185,0.05056,0.17236
scene_102,impressionism_lora,0.173339,2.628196,0.5239,0.28292,0.2167,0.40742
scene_103,impressionism_lora,0.132727,2.166593,3.600622,0.027019,0.02142,0.03658
scene_104,impressionism_lora,0.104139,0.133133,0.069361,0.046031,0.03216,0.08094
scene_105,impressionism_lora,0.122815,0.205565,0.101356,0.039766,0.02836,0.06652
scene_106,impressionism_lora,0.127551,0.842943,1.151033,0.03833,0.03306,0.0456
scene_107,impressionism_lora,0.082226,0.139206,0.354802,2e-05,2e-05,2e-05
scene_109,impressionism_lora,0.118243,0.20527,0.079532,0.157315,0.13758,0.18366
scene_11,impressionism_lora,0.097318,3.136108,1.385128,0.204037,0.16116,0.278
scene_110,impressionism_lora,0.439049,6.121441,3.241034,0.058887,0.03966,0.1143
scene_111,impressionism_lora,0.125603,3.053586,2.299128,0.051771,0.04132,0.0693
scene_112,impressionism_lora,0.118714,0.726109,0.783731,0.082116,0.0647,0.11236
scene_12,impressionism_lora,0.115554,0.194879,0.109101,0.078792,0.0657,0.0984
scene_13,impressionism_lora,0.212981,0.298889,0.249974,0.048391,0.03622,0.07288
scene_14,impressionism_lora,0.11411,0.164868,0.100049,0.077993,0.06266,0.10326
scene_15,impressionism_lora,0.137644,0.21564,0.072728,0.366855,0.29122,0.49556
scene_16,impressionism_lora,0.266025,1.905299,1.449848,0.008632,0.006,0.01538
scene_17,impressionism_lora,0.079096,0.174449,0.123705,0.055028,0.06914,0.0457
scene_2,impressionism_lora,0.152953,0.292226,0.182023,0.064692,0.0531,0.08276
scene_21,impressionism_lora,0.12392,0.179833,0.072448,0.19608,0.1397,0.32876
scene_22,impressionism_lora,0.128014,0.202199,0.056712,0.274561,0.21048,0.39474
scene_23,impressionism_lora,0.116523,2.679814,2.072624,0.066554,0.0571,0.07976
scene_24,impressionism_lora,0.116487,1.716179,6.707236,0.001054,0.00136,0.00086
scene_25,impressionism_lora,0.11799,0.231243,0.113296,0.101362,0.08368,0.12852
scene_26,impressionism_lora,0.095597,0.214616,0.216835,0.061587,0.07468,0.0524
scene_27,impressionism_lora,0.096823,0.387984,0.284896,0.129773,0.10632,0.1665
scene_29,impressionism_lora,0.18897,1.409664,1.664638,0.047673,0.04344,0.05282
scene_30,impressionism_lora,0.071703,0.149701,0.211768,0.176538,0.1295,0.27724
scene_31,impressionism_lora,0.098148,0.203467,0.171522,0.060896,0.04848,0.08186
scene_32,impressionism_lora,0.190925,0.41687,0.588312,0.004159,0.00262,0.01008
scene_33,impressionism_lora,0.149575,0.227613,0.077473,0.254235,0.1991,0.3516
scene_34,impressionism_lora,0.101039,0.220686,0.086715,0.17393,0.12778,0.27226
scene_35,impressionism_lora,0.088268,0.177942,0.136563,0.128893,0.1127,0.15052
scene_36,impressionism_lora,0.173239,0.887792,0.913068,0.053737,0.037,0.09812
scene_37,impressionism_lora,0.0909,0.134877,0.045373,0.031316,0.02836,0.03496
scene_38,impressionism_lora,0.369352,4.558117,3.303978,0.026121,0.02528,0.02702
scene_39,impressionism_lora,0.160992,0.184011,0.391783,0.000852,0.00178,0.00056
scene_4,impressionism_lora,0.158767,33.510735,19.164217,0.076476,0.06418,0.0946
scene_41,impressionism_lora,0.051811,0.341453,0.56455,0.117051,0.08938,0.16954
scene_44,impressionism_lora,0.120496,0.139851,0.118008,0.079817,0.06712,0.09844
scene_45,impressionism_lora,0.103024,0.158013,0.053821,0.361275,0.28702,0.48736
scene_46,impressionism_lora,0.068666,0.329411,0.653974,9.6e-05,0.00012,8e-05
