scene,baseline,AbsRel,RMSE,chamfer,fscore,precision,recall
scene_1,impressionism_lora_consistency_step2500,0.062728,0.110796,0.17983,0.138164,0.10356,0.2075
scene_10,impressionism_lora_consistency_step2500,0.10111,1.484416,2.045007,0.021266,0.01452,0.03972
scene_101,impressionism_lora_consistency_step2500,0.145954,0.082548,0.119824,0.0662,0.0416,0.162
scene_102,impressionism_lora_consistency_step2500,0.156231,2.558028,0.551473,0.219846,0.1698,0.31172
scene_103,impressionism_lora_consistency_step2500,0.097497,1.908747,3.28383,0.039061,0.03052,0.05424
scene_104,impressionism_lora_consistency_step2500,0.107842,0.157754,0.038022,0.051324,0.0346,0.09934
scene_105,impressionism_lora_consistency_step2500,0.135093,0.214166,0.125639,0.030505,0.02318,0.0446
scene_106,impressionism_lora_consistency_step2500,0.09636,0.768106,1.091303,0.045347,0.03788,0.05648
scene_107,impressionism_lora_consistency_step2500,0.05074,0.120401,0.165298,0.038385,0.02762,0.0629
scene_109,impressionism_lora_consistency_step2500,0.096234,0.19249,0.051661,0.207848,0.1713,0.26422
scene_11,impressionism_lora_consistency_step2500,0.072261,2.876287,1.376797,0.283898,0.21482,0.41846
scene_110,impressionism_lora_consistency_step2500,0.436702,6.293691,15.036691,0.002112,0.00336,0.00154
scene_111,impressionism_lora_consistency_step2500,0.094915,2.747597,3.627502,0.038761,0.02716,0.06766
scene_112,impressionism_lora_consistency_step2500,0.09129,0.625696,0.963882,0.05362,0.04104,0.07732
scene_12,impressionism_lora_consistency_step2500,0.094722,0.164922,0.101924,0.060325,0.05048,0.07494
scene_13,impressionism_lora_consistency_step2500,0.178186,0.262949,0.183133,0.077295,0.05964,0.1098
scene_14,impressionism_lora_consistency_step2500,0.075728,0.135017,0.286533,0.036071,0.02754,0.05226
scene_15,impressionism_lora_consistency_step2500,0.093971,0.191429,0.075033,0.272788,0.22016,0.35848
scene_16,impressionism_lora_consistency_step2500,0.198992,1.647266,1.991801,0.006568,0.00794,0.0056
scene_17,impressionism_lora_consistency_step2500,0.075157,0.161459,0.115935,0.060715,0.09338,0.04498
scene_2,impressionism_lora_consistency_step2500,0.114772,0.250754,0.150889,0.077984,0.06066,0.10916
scene_21,impressionism_lora_consistency_step2500,0.097472,0.168257,0.078655,0.158935,0.1098,0.28766
scene_22,impressionism_lora_consistency_step2500,0.10981,0.189031,0.060181,0.267622,0.20362,0.3903
scene_23,impressionism_lora_consistency_step2500,0.100479,2.265033,2.54331,0.034376,0.02672,0.04818
scene_24,impressionism_lora_consistency_step2500,0.086408,1.49235,6.42503,0.000877,0.00112,0.00072
scene_25,impressionism_lora_consistency_step2500,0.085513,0.211694,0.09156,0.133395,0.1022,0.192
scene_26,impressionism_lora_consistency_step2500,0.101631,0.212736,0.203754,0.053686,0.05996,0.0486
scene_27,impressionism_lora_consistency_step2500,0.074694,0.396599,0.30604,0.127221,0.11568,0.14132
scene_29,impressionism_lora_consistency_step2500,0.192372,1.458115,1.432212,0.052993,0.04968,0.05678
scene_30,impressionism_lora_consistency_step2500,0.055011,0.117675,0.189316,0.148619,0.11956,0.19634
scene_31,impressionism_lora_consistency_step2500,0.106013,0.201124,0.172301,0.058043,0.04336,0.08776
scene_32,impressionism_lora_consistency_step2500,0.163073,0.38443,0.528929,0.011587,0.00704,0.03272
