scene,baseline,AbsRel,RMSE,chamfer,fscore,precision,recall
scene_0,mixed_baseline_gray,0.019049,0.043221,0.617495,0.00653,0.007,0.00612
scene_1,mixed_baseline_gray,0.060107,0.122211,0.130814,0.157018,0.13686,0.18414
scene_10,mixed_baseline_gray,0.097335,1.281109,2.187983,0.010162,0.00748,0.01584
scene_100,mixed_baseline_gray,0.093364,12.285856,5.314306,0.182655,0.19398,0.17258
scene_101,mixed_baseline_gray,0.165638,0.107555,0.095481,0.104861,0.08134,0.14752
scene_102,mixed_baseline_gray,0.162066,2.338021,0.785202,0.081399,0.06312,0.11458
scene_103,mixed_baseline_gray,0.082566,1.900195,4.711303,0.0189,0.0189,0.0189
scene_104,mixed_baseline_gray,0.074944,0.151266,0.080405,0.076729,0.41814,0.04224
scene_105,mixed_baseline_gray,0.065701,0.166116,0.085527,0.065312,0.05004,0.094
scene_106,mixed_baseline_gray,0.086676,0.777442,1.121123,0.05117,0.0468,0.05644
scene_107,mixed_baseline_gray,0.07744,0.195177,0.236238,0.014709,0.01024,0.0261
scene_108,mixed_baseline_gray,0.123667,0.344584,0.115121,0.499636,0.45688,0.55122
scene_109,mixed_baseline_gray,0.104845,0.240476,0.075471,0.131996,0.11596,0.15318
scene_11,mixed_baseline_gray,0.086213,3.430338,1.66239,0.286176,0.23864,0.35736
scene_110,mixed_baseline_gray,0.307889,6.039674,13.904572,0.002016,0.0036,0.0014
scene_111,mixed_baseline_gray,0.096529,2.658411,2.961404,0.050315,0.04648,0.05484
scene_112,mixed_baseline_gray,0.084273,0.65372,1.197056,0.028305,0.02152,0.04134
scene_12,mixed_baseline_gray,0.090901,0.18951,0.110271,0.049606,0.05072,0.04854
scene_13,mixed_baseline_gray,0.143118,0.256544,0.122013,0.083108,0.0794,0.08718
scene_14,mixed_baseline_gray,0.083458,0.225361,0.087056,0.132653,0.1063,0.17638
scene_15,mixed_baseline_gray,0.072884,0.179721,0.072194,0.445835,0.36218,0.57974
scene_16,mixed_baseline_gray,0.135993,1.375732,1.487631,0.046528,0.05434,0.04068
scene_17,mixed_baseline_gray,0.077344,0.176225,0.134311,0.051785,0.06992,0.04112
scene_18,mixed_baseline_gray,0.142533,0.311349,0.70547,0.039932,0.04912,0.03364
scene_19,mixed_baseline_gray,0.308407,3.58709,5.655835,0.006606,0.01242,0.0045
scene_2,mixed_baseline_gray,0.11949,0.269747,0.197805,0.057858,0.04968,0.06926
scene_20,mixed_baseline_gray,0.13098,9.156746,5.106559,0.073474,0.08196,0.06658
scene_21,mixed_baseline_gray,0.101893,0.190612,0.05471,0.368276,0.30822,0.4574
scene_22,mixed_baseline_gray,0.096566,0.185802,0.058239,0.278276,0.25108,0.31208
scene_23,mixed_baseline_gray,0.082006,2.376203,2.511245,0.059994,0.05142,0.072
scene_24,mixed_baseline_gray,0.081537,1.438487,5.302298,3.2e-05,2e-05,8e-05
scene_25,mixed_baseline_gray,0.088986,0.215967,0.114949,0.11999,0.1011,0.14756
scene_26,mixed_baseline_gray,0.108762,0.230055,0.238778,0.054721,0.056,0.0535
scene_27,mixed_baseline_gray,0.07564,0.489881,0.306339,0.090747,0.0762,0.11216
scene_28,mixed_baseline_gray,0.149849,4.187875,5.392313,0.070481,0.05506,0.0979
scene_29,mixed_baseline_gray,0.141792,1.352838,1.671224,0.025359,0.02438,0.02642
scene_3,mixed_baseline_gray,0.093852,1.988901,1.698498,0.097848,0.0934,0.10274
