scene,baseline,AbsRel,RMSE,chamfer,fscore,precision,recall
scene_1,mixed_baseline_gray_4_training_views,0.059605,0.116067,0.102249,0.184477,0.16016,0.2175
scene_10,mixed_baseline_gray_4_training_views,0.097324,1.736902,1.892153,0.030518,0.02198,0.0499
scene_101,mixed_baseline_gray_4_training_views,0.10677,0.094155,0.116807,0.046334,0.0312,0.08998
scene_102,mixed_baseline_gray_4_training_views,0.171895,2.701442,1.481234,0.046868,0.04536,0.04848
scene_103,mixed_baseline_gray_4_training_views,0.081234,1.885474,4.08336,0.031225,0.0268,0.0374
scene_104,mixed_baseline_gray_4_training_views,0.079307,0.145971,0.075237,0.057245,0.10992,0.0387
scene_105,mixed_baseline_gray_4_training_views,0.107346,0.187489,0.177809,0.033669,0.0424,0.02792
scene_106,mixed_baseline_gray_4_training_views,0.099149,0.84787,1.115463,0.049539,0.04476,0.05546
scene_107,mixed_baseline_gray_4_training_views,0.035424,0.11842,0.266823,0.006441,0.00598,0.00698
scene_109,mixed_baseline_gray_4_training_views,0.095818,0.241474,0.074473,0.138356,0.12088,0.16174
scene_11,mixed_baseline_gray_4_training_views,0.092867,3.44369,5.330162,0.075477,0.06138,0.09798
scene_110,mixed_baseline_gray_4_training_views,0.454078,6.175982,5.477882,0.013553,0.0119,0.01574
scene_111,mixed_baseline_gray_4_training_views,0.106075,2.916856,2.384112,0.056813,0.04412,0.07976
scene_112,mixed_baseline_gray_4_training_views,0.125486,0.878827,0.686221,0.058307,0.07012,0.0499
scene_12,mixed_baseline_gray_4_training_views,0.092532,0.190955,0.115896,0.02956,0.02794,0.03138
scene_13,mixed_baseline_gray_4_training_views,0.10647,0.237061,0.159345,0.071878,0.07064,0.07316
scene_14,mixed_baseline_gray_4_training_views,0.128019,0.182883,0.095512,0.115034,0.09522,0.14526
scene_15,mixed_baseline_gray_4_training_views,0.094132,0.202277,0.080603,0.406711,0.3196,0.5591
scene_16,mixed_baseline_gray_4_training_views,0.140041,1.499827,1.57684,0.016944,0.02966,0.01186
scene_17,mixed_baseline_gray_4_training_views,0.077063,0.194687,0.142364,0.035623,0.06794,0.02414
scene_2,mixed_baseline_gray_4_training_views,0.115729,0.251908,0.174721,0.061268,0.05288,0.07282
scene_21,mixed_baseline_gray_4_training_views,0.113096,0.179144,0.0991,0.190154,0.1604,0.23346
scene_22,mixed_baseline_gray_4_training_views,0.111967,0.208416,0.301686,0.037952,0.03244,0.04572
scene_23,mixed_baseline_gray_4_training_views,0.131895,2.897942,2.045547,0.083175,0.08432,0.08206
scene_24,mixed_baseline_gray_4_training_views,0.076564,1.33747,9.202069,9e-05,0.00018,6e-05
scene_25,mixed_baseline_gray_4_training_views,0.098314,0.220153,0.110357,0.151382,0.12392,0.19448
scene_26,mixed_baseline_gray_4_training_views,0.119284,0.238223,0.161889,0.041553,0.03646,0.0483
scene_27,mixed_baseline_gray_4_training_views,0.071272,0.362185,0.319344,0.105524,0.09312,0.12174
scene_29,mixed_baseline_gray_4_training_views,0.134165,1.425334,2.195548,0.033377,0.03036,0.03706
scene_3,mixed_baseline_gray_4_training_views,0.091232,1.837885,1.486949,0.093717,0.09134,0.09622
scene_30,mixed_baseline_gray_4_training_views,0.044901,0.092509,0.106356,0.306398,0.25168,0.39152
scene_31,mixed_baseline_gray_4_training_views,0.090024,0.185484,0.182333,0.025582,0.01798,0.04432
scene_32,mixed_baseline_gray_4_training_views,0.169621,0.40263,0.735139,0.007737,0.00818,0.00734
scene_33,mixed_baseline_gray_4_training_views,0.114614,0.210301,0.060113,0.384386,0.32354,0.47342
scene_34,mixed_baseline_gray_4_training_views,0.076268,0.196547,0.117397,0.147319,0.10738,0.23456
scene_35,mixed_baseline_gray_4_training_views,0.072162,0.167534,0.164898,0.095445,0.11802,0.08012
scene_36,mixed_baseline_gray_4_training_views,0.170613,0.989711,2.039476,0.005199,0.00662,0.00428
scene_37,mixed_baseline_gray_4_training_views,0.085515,0.132197,0.036937,0.018068,0.01786,0.01828
scene_38,mixed_baseline_gray_4_training_views,0.357652,5.04601,5.318545,0.0143,0.0272,0.0097
scene_39,mixed_baseline_gray_4_training_views,0.146838,0.206025,0.191931,0.02071,0.01466,0.03526
scene_4,mixed_baseline_gray_4_training_views,0.152272,32.130037,18.233452,0.084475,0.07226,0.10166
scene_41,mixed_baseline_gray_4_training_views,0.043041,0.324598,0.305464,0.319153,0.2709,0.38832
scene_42,mixed_baseline_gray_4_training_views,0.23734,0.682349,2.037309,0.001949,0.00672,0.00114
scene_44,mixed_baseline_gray_4_training_views,0.104613,0.163946,0.132316,0.100583,0.08588,0.12136
scene_45,mixed_baseline_gray_4_training_views,0.070577,0.136966,0.054718,0.436547,0.3889,0.4975
scene_46,mixed_baseline_gray_4_training_views,0.040534,0.261695,0.472485,9.2e-05,0.0002,6e-05
scene_47,mixed_baseline_gray_4_training_views,0.087237,0.561941,0.805534,0.080556,0.08384,0.07752
scene_48,mixed_baseline_gray_4_training_views,0.052884,0.1221,0.093381,0.146028,0.14226,0.15
scene_49,mixed_baseline_gray_4_training_views,0.080833,0.562893,1.068367,0.022576,0.01804,0.03016
scene_50,mixed_baseline_gray_4_training_views,0.101104,0.178828,0.078145,0.191934,0.17406,0.2139
scene_52,mixed_baseline_gray_4_training_views,0.156443,32.073278,13.41568,0.141733,0.17354,0.11978
scene_54,mixed_baseline_gray_4_training_views,0.10123,16.405703,23.770043,0.067092,0.07252,0.06242
scene_55,mixed_baseline_gray_4_training_views,0.078462,2.053736,5.505415,0.001415,0.0015,0.00134
scene_56,mixed_baseline_gray_4_training_views,0.058451,0.130337,0.026623,0.106329,0.094,0.12238
scene_57,mixed_baseline_gray_4_training_views,0.124191,1.096272,1.086595,0.030329,0.02276,0.04544
scene_59,mixed_baseline_gray_4_training_views,0.113488,1.757102,2.150325,0.019577,0.02914,0.01474
scene_60,mixed_baseline_gray_4_training_views,0.082933,0.238181,0.089944,0.161709,0.1459,0.18136
scene_61,mixed_baseline_gray_4_training_views,0.270169,0.462195,0.428459,0.035661,0.02278,0.08206
scene_64,mixed_baseline_gray_4_training_views,0.060784,12.723814,93.123104,0.016375,0.01912,0.01432
scene_66,mixed_baseline_gray_4_training_views,0.103435,18.912331,6.206113,0.170186,0.1747,0.1659
scene_67,mixed_baseline_gray_4_training_views,0.091604,16.447173,13.721583,0.077677,0.06716,0.0921
scene_71,mixed_baseline_gray_4_training_views,0.137158,0.244582,0.194791,0.048332,0.03866,0.06446
scene_72,mixed_baseline_gray_4_training_views,0.067286,0.181037,0.048274,0.389107,0.35052,0.43724
scene_73,mixed_baseline_gray_4_training_views,0.082323,0.243771,0.246138,0.078683,0.066,0.0974
scene_75,mixed_baseline_gray_4_training_views,0.089059,14.23784,7.544492,0.080541,0.07336,0.08928
scene_78,mixed_baseline_gray_4_training_views,0.127853,0.185178,0.127319,0.103445,0.0751,0.16616
scene_79,mixed_baseline_gray_4_training_views,0.161105,0.307634,0.192217,0.058611,0.0463,0.07984
scene_8,mixed_baseline_gray_4_training_views,0.124941,1.363064,1.537094,0.051837,0.03938,0.07582
scene_80,mixed_baseline_gray_4_training_views,0.090749,0.185989,0.065801,0.249923,0.18776,0.37362
scene_81,mixed_baseline_gray_4_training_views,0.118215,0.256423,0.292413,0.00016,0.65392,8e-05
scene_85,mixed_baseline_gray_4_training_views,0.230355,0.236567,0.238447,0.066936,0.04536,0.12766
scene_87,mixed_baseline_gray_4_training_views,0.071429,0.17774,0.184487,0.085514,0.07942,0.09262
scene_89,mixed_baseline_gray_4_training_views,0.138923,0.232731,0.067069,0.0731,0.06276,0.08752
scene_9,mixed_baseline_gray_4_training_views,0.086305,0.313412,0.117559,0.294709,0.32486,0.26968
scene_90,mixed_baseline_gray_4_training_views,0.286337,1.183273,0.948949,0.058724,0.04988,0.07138
scene_92,mixed_baseline_gray_4_training_views,0.115313,14.660206,13.6658,0.049467,0.03642,0.07708
scene_93,mixed_baseline_gray_4_training_views,0.194341,0.293648,0.261652,0.049686,0.05154,0.04796
scene_95,mixed_baseline_gray_4_training_views,0.21136,0.356154,0.496554,0.01798,0.01436,0.02404
scene_96,mixed_baseline_gray_4_training_views,0.07821,0.117707,0.1608,0.074409,0.06964,0.07988
scene_98,mixed_baseline_gray_4_training_views,0.229201,0.279055,0.167947,0.086794,0.0711,0.11138
MEAN,mixed_baseline_gray_4_training_views,0.119931,2.663343,3.248097,0.093223,0.092613,0.11137
MEDIAN,mixed_baseline_gray_4_training_views,0.102332,0.270375,0.264238,0.059996,0.06438,0.07864
