scene,baseline,AbsRel,RMSE,chamfer,fscore,precision,recall
scene_0,mixed_lora_gray,0.033672,0.060564,0.461554,0.028275,0.02192,0.03982
scene_1,mixed_lora_gray,0.05816,0.103123,0.262907,0.085523,0.06166,0.13952
scene_10,mixed_lora_gray,0.073068,1.148557,3.049757,0.000297,0.00058,0.0002
scene_100,mixed_lora_gray,0.10317,10.517571,5.882605,0.255349,0.2193,0.30558
scene_101,mixed_lora_gray,0.115521,0.098249,0.103784,0.086674,0.05984,0.15714
scene_102,mixed_lora_gray,0.166113,2.519904,1.334565,0.044749,0.04176,0.0482
scene_103,mixed_lora_gray,0.115599,2.049014,4.124783,0.023483,0.01822,0.03302
scene_104,mixed_lora_gray,0.084512,0.169175,0.054778,0.119289,0.37854,0.0708
scene_105,mixed_lora_gray,0.077941,0.184891,0.078716,0.066515,0.0523,0.09134
scene_106,mixed_lora_gray,0.090364,0.765731,1.447009,0.0346,0.03462,0.03458
scene_107,mixed_lora_gray,0.111236,0.217938,0.217535,0.01583,0.01116,0.02722
scene_108,mixed_lora_gray,0.135822,0.317702,0.154001,0.158281,0.12646,0.2115
scene_109,mixed_lora_gray,0.09769,0.219802,0.050663,0.247622,0.21604,0.29002
scene_11,mixed_lora_gray,0.109273,3.990314,5.45431,0.051582,0.03648,0.08802
scene_110,mixed_lora_gray,0.312191,5.513817,15.76198,0.002867,0.00426,0.00216
scene_111,mixed_lora_gray,0.094953,2.657435,1.945077,0.074947,0.06116,0.09676
scene_112,mixed_lora_gray,0.09456,0.648041,0.714012,0.05433,0.04098,0.08058
scene_12,mixed_lora_gray,0.105151,0.205004,0.104241,0.061824,0.06474,0.05916
scene_13,mixed_lora_gray,0.144717,0.245125,0.267435,0.038088,0.03134,0.04854
scene_14,mixed_lora_gray,0.068564,0.136418,0.214874,0.056218,0.04254,0.08286
scene_15,mixed_lora_gray,0.106766,0.194975,0.071471,0.387792,0.28994,0.58534
scene_16,mixed_lora_gray,0.140294,1.503634,1.465081,0.054839,0.08166,0.04128
scene_17,mixed_lora_gray,0.078591,0.180196,0.125357,0.025088,0.04834,0.01694
scene_18,mixed_lora_gray,0.144845,0.288813,0.59389,0.050663,0.05608,0.0462
scene_19,mixed_lora_gray,0.290573,3.256694,9.811857,0.003971,0.0054,0.00314
scene_2,mixed_lora_gray,0.114148,0.257718,0.164477,0.064322,0.04914,0.09308
scene_20,mixed_lora_gray,0.142275,8.82615,4.446904,0.094578,0.07664,0.12348
scene_21,mixed_lora_gray,0.121859,0.193704,0.073146,0.207082,0.14514,0.36126
scene_22,mixed_lora_gray,0.109791,0.192861,0.059787,0.253681,0.20056,0.34508
scene_23,mixed_lora_gray,0.081708,2.264281,2.798973,0.055186,0.04112,0.08388
scene_24,mixed_lora_gray,0.069152,1.380932,10.947571,0.0,0.0,0.0
scene_25,mixed_lora_gray,0.096596,0.210318,0.106392,0.11791,0.08902,0.17456
scene_26,mixed_lora_gray,0.093815,0.219485,0.21816,0.066949,0.06422,0.06992
scene_27,mixed_lora_gray,0.083954,0.444351,0.284916,0.117467,0.0994,0.14356
scene_28,mixed_lora_gray,0.183223,4.258256,5.699944,0.071887,0.05182,0.11732
scene_29,mixed_lora_gray,0.10493,1.426579,1.419595,0.043678,0.04686,0.0409
scene_3,mixed_lora_gray,0.096811,1.944811,1.628334,0.112152,0.09306,0.1411
scene_30,mixed_lora_gray,0.071762,0.162816,0.198488,0.158179,0.1172,0.24322
scene_31,mixed_lora_gray,0.093426,0.178355,0.182969,0.035465,0.027,0.05166
scene_32,mixed_lora_gray,0.15853,0.324777,1.062521,0.0,0.0,0.0
scene_33,mixed_lora_gray,0.106428,0.191191,0.057493,0.370622,0.30304,0.477
scene_34,mixed_lora_gray,0.097236,0.214662,0.085791,0.140641,0.09516,0.2694
scene_35,mixed_lora_gray,0.066829,0.18617,0.159245,0.063127,0.04502,0.1056
scene_36,mixed_lora_gray,0.130393,0.776002,3.980788,0.005174,0.01082,0.0034
scene_37,mixed_lora_gray,0.099336,0.170041,0.040397,0.060055,0.05954,0.06058
scene_38,mixed_lora_gray,0.373003,4.59735,2.652408,0.021717,0.06346,0.0131
scene_39,mixed_lora_gray,0.178628,0.206467,0.143333,0.053487,0.04344,0.06958
scene_4,mixed_lora_gray,0.132253,22.711976,21.978499,0.046013,0.04182,0.05114
scene_40,mixed_lora_gray,0.086126,0.201422,0.073031,0.072847,0.05772,0.09872
scene_41,mixed_lora_gray,0.05382,0.504967,1.317285,0.050064,0.03398,0.09506
scene_42,mixed_lora_gray,0.144465,0.524733,0.65218,0.035213,0.03364,0.03694
scene_43,mixed_lora_gray,0.175257,7.197481,8.779589,0.07451,0.09014,0.0635
scene_44,mixed_lora_gray,0.133449,0.168385,0.155105,0.071474,0.07836,0.0657
scene_45,mixed_lora_gray,0.091189,0.15347,0.41307,0.02298,0.01676,0.03654
scene_46,mixed_lora_gray,0.06767,0.309812,0.255034,0.026832,0.01988,0.04126
scene_47,mixed_lora_gray,0.104364,0.639498,0.634644,0.085243,0.0763,0.09656
scene_48,mixed_lora_gray,0.059976,0.112443,0.099003,0.15625,0.13122,0.19308
scene_49,mixed_lora_gray,0.101017,0.580639,0.572178,0.055787,0.04536,0.07244
scene_5,mixed_lora_gray,0.101114,7.403334,4.691235,0.055791,0.04418,0.07568
scene_50,mixed_lora_gray,0.113026,0.189953,0.071836,0.14962,0.12614,0.18384
scene_51,mixed_lora_gray,0.093205,6.631883,4.401121,0.360702,0.32022,0.4129
