scene,baseline,AbsRel,RMSE,chamfer,fscore,precision,recall
scene_1,mixed_lora_gray_4_training_views,0.066682,0.112317,0.080567,0.226204,0.1629,0.36998
scene_10,mixed_lora_gray_4_training_views,0.079853,1.44089,1.2506,0.039085,0.02962,0.05744
scene_101,mixed_lora_gray_4_training_views,0.099814,0.095156,0.096605,0.06755,0.04392,0.14622
scene_102,mixed_lora_gray_4_training_views,0.13352,2.491888,1.066429,0.088458,0.0739,0.11016
scene_103,mixed_lora_gray_4_training_views,0.102,1.93941,3.498379,0.020392,0.01362,0.04056
scene_104,mixed_lora_gray_4_training_views,0.089369,0.149558,0.100509,0.002224,0.0015,0.0043
scene_105,mixed_lora_gray_4_training_views,0.085757,0.16291,0.108093,0.059008,0.0465,0.08072
scene_106,mixed_lora_gray_4_training_views,0.120989,0.835577,1.444891,0.020303,0.01862,0.02232
scene_107,mixed_lora_gray_4_training_views,0.060305,0.132607,0.13941,0.052596,0.041,0.07334
scene_109,mixed_lora_gray_4_training_views,0.102937,0.226672,0.083971,0.111456,0.09238,0.14046
scene_11,mixed_lora_gray_4_training_views,0.098788,3.352024,5.276529,0.051226,0.0383,0.07732
scene_110,mixed_lora_gray_4_training_views,0.459743,6.103274,5.244402,0.029073,0.02018,0.05198
scene_111,mixed_lora_gray_4_training_views,0.116145,2.969986,2.448467,0.03843,0.02972,0.05436
scene_112,mixed_lora_gray_4_training_views,0.102301,0.640402,0.701103,0.057238,0.04276,0.08654
scene_12,mixed_lora_gray_4_training_views,0.088449,0.171469,0.095375,0.044846,0.0427,0.04722
scene_13,mixed_lora_gray_4_training_views,0.118226,0.222572,0.165129,0.078168,0.06092,0.10904
scene_14,mixed_lora_gray_4_training_views,0.114051,0.16934,0.282207,0.035609,0.02714,0.05176
scene_15,mixed_lora_gray_4_training_views,0.136338,0.229918,0.083913,0.297559,0.24202,0.38618
scene_16,mixed_lora_gray_4_training_views,0.169728,1.630469,2.148079,0.018671,0.03154,0.01326
scene_17,mixed_lora_gray_4_training_views,0.064595,0.150418,0.124372,0.044738,0.07034,0.0328
scene_2,mixed_lora_gray_4_training_views,0.118322,0.248943,0.195696,0.052543,0.0418,0.07072
scene_21,mixed_lora_gray_4_training_views,0.114273,0.177,0.074564,0.173462,0.12552,0.28066
scene_22,mixed_lora_gray_4_training_views,0.102693,0.185832,0.33779,0.033413,0.02768,0.04214
scene_23,mixed_lora_gray_4_training_views,0.094914,2.4183,2.566576,0.034527,0.02436,0.05926
