scene,baseline,AbsRel,RMSE,chamfer,fscore,precision,recall
scene_1,photographs_100_lora,0.06412,0.114966,0.232338,0.100873,0.0714,0.17178
scene_10,photographs_100_lora,0.072583,1.285039,1.459,0.036417,0.02666,0.05744
scene_101,photographs_100_lora,0.079017,0.098535,0.105651,0.055577,0.0344,0.14458
scene_102,photographs_100_lora,0.133058,2.346775,0.4659,0.278981,0.22956,0.35552
scene_103,photographs_100_lora,0.091128,1.918235,3.420012,0.028814,0.0206,0.04792
scene_104,photographs_100_lora,0.06981,0.138641,0.197043,3.9e-05,0.001,2e-05
scene_105,photographs_100_lora,0.068648,0.153562,0.112903,0.057527,0.0433,0.08568
scene_106,photographs_100_lora,0.110947,0.798811,0.919107,0.042661,0.03694,0.05048
scene_107,photographs_100_lora,0.046235,0.117135,0.127709,0.049598,0.03632,0.07818
scene_109,photographs_100_lora,0.10014,0.200515,0.071636,0.147464,0.12732,0.17518
scene_11,photographs_100_lora,0.096186,3.322743,5.607578,0.059178,0.0487,0.0754
scene_110,photographs_100_lora,0.370445,5.783979,5.052891,0.037279,0.02452,0.07772
scene_111,photographs_100_lora,0.095457,2.820361,2.468722,0.045404,0.03834,0.05566
scene_112,photographs_100_lora,0.09261,0.598113,0.725981,0.041965,0.03222,0.06016
scene_12,photographs_100_lora,0.080566,0.166778,0.114714,0.035957,0.03902,0.03334
scene_13,photographs_100_lora,0.085173,0.181169,0.184589,0.098958,0.08018,0.12922
scene_14,photographs_100_lora,0.060258,0.129532,0.070458,0.169007,0.15108,0.19176
scene_15,photographs_100_lora,0.09378,0.199711,0.077729,0.347567,0.26926,0.4901
scene_16,photographs_100_lora,0.13584,1.410334,1.891999,0.015176,0.03126,0.01002
scene_17,photographs_100_lora,0.050529,0.118511,0.120495,0.053446,0.07142,0.0427
scene_2,photographs_100_lora,0.097386,0.227272,0.199401,0.042086,0.03194,0.06168
scene_21,photographs_100_lora,0.094924,0.16966,0.061501,0.27439,0.21362,0.38348
scene_22,photographs_100_lora,0.094108,0.173174,0.308427,0.042922,0.04026,0.04596
scene_23,photographs_100_lora,0.076318,2.17795,2.85486,0.025836,0.01778,0.04724
scene_24,photographs_100_lora,0.065474,1.194573,3.794524,0.012996,0.01024,0.01778
scene_25,photographs_100_lora,0.104175,0.223629,0.118244,0.103167,0.0778,0.15308
scene_26,photographs_100_lora,0.075855,0.193191,0.176834,0.066463,0.06218,0.07138
scene_27,photographs_100_lora,0.077151,0.374276,0.428109,0.05826,0.05826,0.05826
scene_29,photographs_100_lora,0.08515,1.222227,1.909697,0.030838,0.0362,0.02686
scene_3,photographs_100_lora,0.100837,1.771761,1.405332,0.079286,0.07824,0.08036
scene_30,photographs_100_lora,0.067423,0.133996,0.781902,0.003382,0.00234,0.0061
scene_31,photographs_100_lora,0.068803,0.16526,0.17705,0.053666,0.0418,0.07494
scene_32,photographs_100_lora,0.088787,0.285241,1.059535,0.00015,0.0003,0.0001
scene_33,photographs_100_lora,0.138301,0.209991,0.062811,0.289428,0.22724,0.39848
scene_34,photographs_100_lora,0.078263,0.182189,0.082505,0.223438,0.1672,0.33668
scene_35,photographs_100_lora,0.072586,0.153822,0.119755,0.08593,0.06532,0.12554
scene_36,photographs_100_lora,0.108598,0.761944,4.397574,0.001867,0.0028,0.0014
scene_37,photographs_100_lora,0.059292,0.091083,0.035612,0.057172,0.0956,0.04078
